Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,29,Two Birds,Regina Spektor,2,https://www.youtube.com/watch?v=Bb3_oDWiD_w
2,4,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,5,https://www.youtube.com/watch?v=J7Xzgcu6vVk
3,3,NO BATIDÃO,slxughter,14,https://www.youtube.com/watch?v=GXioir-fujY
4,1,Lush Life,Zara Larsson,9,https://www.youtube.com/watch?v=tD4HCZe-tew
5,2,Big Guy,Ice Spice,10,https://www.youtube.com/watch?v=7yaU0qXlgbo
6,5,Montagem Miau (Ultra Slowed),Lenar,14,n/a
7,7,Internet Girl,KATSEYE,6,https://www.youtube.com/watch?v=5q9EjSUovc4
8,33,peekaboo (feat. AZ Chike),Kendrick Lamar,18,https://www.youtube.com/watch?v=cbHkzwa0QmM
9,n/a,Art of Guitar (feat. Marcin),RJ Pasin,7,https://www.youtube.com/watch?v=iHlfdyLMHOo
10,8,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,4,https://www.youtube.com/watch?v=qVuwUR5_FsE
11,9,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,10,https://www.youtube.com/watch?v=eIQqtWOA12c
12,13,Trap Queen,Fetty Wap,3,https://www.youtube.com/watch?v=i_kF4zLNKio
13,34,Upside Down,Diana Ross,5,https://www.youtube.com/watch?v=hDHW5wXBvLw
14,14,What You Saying,Lil Uzi Vert,4,https://www.youtube.com/watch?v=pwVEpinyTTQ
15,12,Hello,OMFG,13,https://www.youtube.com/watch?v=aaIjs8K3oYo
16,6,Without Me,Halsey,3,https://www.youtube.com/watch?v=ZAfAud_M_mg
17,n/a,DtMF,Bad Bunny,1,https://www.youtube.com/watch?v=v9T_MGfzq7I
18,n/a,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,1,https://www.youtube.com/watch?v=skhxizRYxps
19,15,BOO,H3adband,7,https://www.youtube.com/watch?v=km5bgjATdCk
20,10,Gozalo (Remix),Ariis,6,https://www.youtube.com/watch?v=GkqzojRVtGo
21,21,Stateside,PinkPantheress & Zara Larsson,4,https://www.youtube.com/watch?v=lIxQe1R5hs0
22,30,LET THE WORLD BURN,Chris Grey,14,https://www.youtube.com/watch?v=fdJrSjMgPFE
23,25,Phantom,EsDeeKid & Rico Ace,8,https://www.youtube.com/watch?v=hmdzniMJOZs
24,20,CHANEL,Tyla,13,https://www.youtube.com/watch?v=xiZUf98A1Ts
25,23,I Thought I Saw Your Face Today,She & Him,5,https://www.youtube.com/watch?v=pyGU-UudvrM
26,17,i walk this earth all by myself,EKKSTACY,8,https://www.youtube.com/watch?v=uto7z_YEuaM
27,n/a,Please Me,Cardi B & Bruno Mars,1,https://www.youtube.com/watch?v=3y-O-4IL-PU
28,32,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,13,https://www.youtube.com/watch?v=sTHhz9LXdjw
29,11,Cheerleader (Felix Jaehn Remix),OMI,4,https://www.youtube.com/watch?v=jGflUbPQfW8
30,37,Fame is a Gun,Addison Rae,2,https://www.youtube.com/watch?v=TkwZ2uQu2hE
31,35,DON`T STOP,GLXXMSTRIDER,16,https://www.youtube.com/watch?v=9ZeUei8IUxA
32,n/a,Love & Smiles,ay3demi & Keno Carter,3,https://www.youtube.com/watch?v=1QZlz5Eyv94
33,16,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,3,https://www.youtube.com/watch?v=bEYiPCbHAtM
34,28,Epic Inspiration,AShamaluevMusic,16,https://www.youtube.com/watch?v=CvLHKUtcFg4
35,24,Don't Mind,Kent Jones,10,https://www.youtube.com/watch?v=n49qi-dU9IE
36,n/a,SAD! (FUNK),MEMPHX & SEKIMANE,1,https://www.youtube.com/watch?v=t7AhhwLZVzQ
37,22,Roc Steady (feat. Flo Milli),Megan Thee Stallion,2,https://www.youtube.com/watch?v=HozPPyqW0dY
38,26,What I Was Born To Do,Original Broadway Cast Recording,6,https://www.youtube.com/watch?v=r9SKTsG0hUA
39,45,BI,KISLOTV,13,https://www.youtube.com/watch?v=fQAovWwAtws
40,n/a,Two Different Worlds,KORUSE & mzmff,1,https://www.youtube.com/watch?v=5x57IpwMrWQ
41,31,NOT CUTE ANYMORE,ILLIT,9,https://www.youtube.com/watch?v=x_RYZsOfpKY
42,42,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,2,https://www.youtube.com/watch?v=72zXataH1H8
43,43,Gnarly,KATSEYE,11,https://www.youtube.com/watch?v=R2-yomhYAj4
44,39,Stranger Things,Kyle Dixon & Michael Stein,12,https://www.youtube.com/watch?v=2obv0DHuhu4
45,44,That's What I Like,Bruno Mars,4,https://www.youtube.com/watch?v=PMivT7MJ41M
46,27,Paloma Blanca,George Baker Selection,2,https://www.youtube.com/watch?v=TCmu-fB4TDs
47,40,Funny,Gold-Tiger,5,https://www.youtube.com/watch?v=5kgl9773BT4
48,36,End of Beginning,Djo,13,https://www.youtube.com/watch?v=oXSw8DGjf5E
49,n/a,Feeling On My Body,Taffy & PLUTO,1,https://www.youtube.com/watch?v=ve3jKGarzbI
50,48,I Just Might,Bruno Mars,2,https://www.youtube.com/watch?v=mrV8kK5t0V8
