Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,2,Sugar On My Tongue,Tyler The Creator,8,https://www.youtube.com/watch?v=ljHdccyQbT4
2,1,Doot Doot (6 7),Skrilla,17,https://www.youtube.com/watch?v=XnygT6ANLzQ
3,3,Ocean Eyes,Billie Eilish,5,https://www.youtube.com/watch?v=viimfQi_pUw
4,4,Confess your love (feat. ola.wav),Jiandro,9,https://www.youtube.com/watch?v=LfHm50UJW6U
5,5,The Fate of Ophelia,Taylor Swift,2,https://www.youtube.com/watch?v=ko70cExuzZM
6,6,forget卡点舞,DJ易拉罐,4,https://www.youtube.com/watch?v=CSnF5xMwXwU
7,7,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,14,https://www.youtube.com/watch?v=yebNIHKAC4A
8,8,Friendships (feat. Leony),Pascal Letoublon,15,https://www.youtube.com/watch?v=1g3Toj4-RMg
9,9,Bark Like You Want It,Sir Mix-A-Lot,4,https://www.youtube.com/watch?v=r06VZKwykgU
10,21,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,2,https://www.youtube.com/watch?v=Hd5nXTyaXZg
11,11,YOSHO HAI MONTAGEM,Torbahed,3,https://www.youtube.com/watch?v=Wo__M-KVcYQ
12,10,When Did You Get Hot?,Sabrina Carpenter,4,https://www.youtube.com/watch?v=bnhV-OBnGCE
13,12,The Days,CHRYSTAL,9,https://www.youtube.com/watch?v=o8RcHrz2-uU
14,16,SODA POP,Saja Boys,15,https://www.youtube.com/watch?v=eny0BqmSwmM
15,13,Don’t hide,So Supa,2,https://www.youtube.com/watch?v=xzy_QjM04Tc
16,n/a,BIG GIRLS,ScarLip & FendiDa Rappa & Dank Demoss,1,https://www.youtube.com/watch?v=wZtGUOoPUSc
17,19,poster boy,2hollis,5,https://www.youtube.com/watch?v=H2vTrHc-OGk
18,24,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,9,https://www.youtube.com/watch?v=EmmYDU3Rjpg
19,25,MENTE MÁ,Nakama & Mc Staff,8,https://www.youtube.com/watch?v=cXDOHqa_QgY
20,14,don't miss me,Claire Rosinkranz,4,https://www.youtube.com/watch?v=DpRktghv0mc
21,n/a,L O V E,Michael Bublé,5,https://www.youtube.com/watch?v=sdOvR6Io9Ao
22,23,Milkshake,Kelis,13,https://www.youtube.com/watch?v=6AwXKJoKJz4
23,28,CLIMA LINDO (SLOWED),GXMZ & Repsaj,8,https://www.youtube.com/watch?v=P12jBX75B48
24,20,Take Me Thru Dere,Metro Boomin & Quavo & Breskii & YKNIECE & DJ Spinz,6,https://www.youtube.com/watch?v=iUZyn_w6Y1Q
25,37,I Think I Like You Better When You’re Gone,Reneé Rapp,2,https://www.youtube.com/watch?v=UrKffSWHr8g
26,n/a,Wish (Live),Trippie Redd & Diplo,1,https://www.youtube.com/watch?v=zOdKS_ayMyM
27,n/a,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,1,https://www.youtube.com/watch?v=eIQqtWOA12c
28,18,ACELERADA,sma$her & MXZI,10,https://www.youtube.com/watch?v=YQkeI3BQdP0
29,15,𝐀𝐧𝐚𝐥𝐨𝐠 𝐇𝐨𝐫𝐫𝐨𝐫 𝐅𝐮𝐧𝐤 (𝟔𝟕) - 𝐃𝐉 𝐑𝐚𝐮𝐥𝐢𝐩𝐮𝐞𝐬 - (𝐒𝐮𝐩𝐞𝐫 𝐒𝐥𝐨𝐰𝐞𝐝),qqPues & DJ Raulipues,4,https://www.youtube.com/watch?v=LAREL-WTRZY
30,40,Treat You Better,Shawn Mendes,2,https://www.youtube.com/watch?v=lY2yjAdbvdQ
31,26,Mooo!,Doja Cat,6,https://www.youtube.com/watch?v=mXnJqYwebF8
32,27,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,12,https://www.youtube.com/watch?v=cWppAbqm9I8
33,n/a,Before You Go,Lewis Capaldi,3,https://www.youtube.com/watch?v=Jtauh8GcxBY
34,39,Hello,OMFG,2,https://www.youtube.com/watch?v=aaIjs8K3oYo
35,30,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,9,https://www.youtube.com/watch?v=pUklUX8ITeo
36,22,NEWJEANS (Sped Up),Turtlecommercial,3,https://www.youtube.com/watch?v=Dqpmr-YKE80
37,42,Spooky Scary Skeletons (Undead Tombstone Remix),Andrew Gold,10,https://www.youtube.com/watch?v=Qbwt0ks5Cvc
38,29,VAI VAI TRAIR,DJ Asul,4,https://www.youtube.com/watch?v=2VV_ox3XXzg
39,n/a,Jax Toy (Reprise) (feat. Michael Kovach),Jakeneutron,1,https://www.youtube.com/watch?v=GcmJAqxWKeA
40,32,How It’s Done,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,12,https://www.youtube.com/watch?v=QGsevnbItdU
41,17,BI,KISLOTV,3,https://www.youtube.com/watch?v=fQAovWwAtws
42,35,From The Start,Laufey,5,https://www.youtube.com/watch?v=lSD_L-xic9o
43,n/a,Game over!,Harris Cole,4,https://www.youtube.com/watch?v=fTQb5umb1dg
44,n/a,Bring It Back,Travis Porter,1,https://www.youtube.com/watch?v=VTCkmvSwIjw
45,n/a,My Dawg,Lil Baby,1,https://www.youtube.com/watch?v=eizDlMTanE4
46,n/a,The Eye Color Ballad,Naethan Apollo,4,https://www.youtube.com/watch?v=sYo0Z_zt5HU
47,31,NO ERA AMOR - Super Slowed,DJ Asul,9,https://www.youtube.com/watch?v=V7WnvoFbcHI
48,47,Epic Inspiration,AShamaluevMusic,2,https://www.youtube.com/watch?v=CvLHKUtcFg4
49,34,We Fell in Love in October,Marie Ulven,6,https://www.youtube.com/watch?v=iggmiF7DNoM
