Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,3,Confess your love (feat. ola.wav),Jiandro,4,https://www.youtube.com/watch?v=LfHm50UJW6U
2,7,The Days,CHRYSTAL,4,https://www.youtube.com/watch?v=o8RcHrz2-uU
3,9,SODA POP,Saja Boys,10,https://www.youtube.com/watch?v=eny0BqmSwmM
4,11,Sugar On My Tongue,Tyler The Creator,3,https://www.youtube.com/watch?v=ljHdccyQbT4
5,25,Doot Doot (6 7),Skrilla,12,https://www.youtube.com/watch?v=XnygT6ANLzQ
6,10,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,9,https://www.youtube.com/watch?v=yebNIHKAC4A
7,12,ACELERADA,sma$her & MXZI,5,https://www.youtube.com/watch?v=YQkeI3BQdP0
8,14,Rock That Body,The Black Eyed Peas,15,https://www.youtube.com/watch?v=nmnjL26OBcY
9,15,Devil in Disguise,Marino,7,https://www.youtube.com/watch?v=DC-cqWO_GM0
10,22,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,7,https://www.youtube.com/watch?v=cWppAbqm9I8
11,17,Oh Ok (release the files),ian & Shonci,2,https://www.youtube.com/watch?v=6IeSiIdMvzA
12,34,MENTE MÁ,Nakama & Mc Staff,3,https://www.youtube.com/watch?v=cXDOHqa_QgY
13,n/a,Clint Eastwood,Gorillaz & Del The Funky Homosapien,1,https://www.youtube.com/watch?v=1V_xRb0x9aw
14,37,How It’s Done,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,8,https://www.youtube.com/watch?v=QGsevnbItdU
15,28,Milkshake,Kelis,8,https://www.youtube.com/watch?v=6AwXKJoKJz4
16,23,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,4,https://www.youtube.com/watch?v=pUklUX8ITeo
17,36,Krabby Step,Swae Lee & Tyga & Lil Mosey,4,https://www.youtube.com/watch?v=lOLvuGV-88o
18,24,POSER,PARTYOF2 & Jadagrace & SWIM,3,https://www.youtube.com/watch?v=S8UcxjbuqyE
19,44,NO ERA AMOR - Super Slowed,DJ Asul,4,https://www.youtube.com/watch?v=V7WnvoFbcHI
20,30,Esta Noche,sma$her,3,https://www.youtube.com/watch?v=YiYwovZ9IT8
21,42,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,4,https://www.youtube.com/watch?v=EmmYDU3Rjpg
22,n/a,GIRL LIKE ME,The Black Eyed Peas & Shakira,2,https://www.youtube.com/watch?v=vMLk_T0PPbk
23,n/a,Crimson Autumn Breeze,Lark's Call,1,https://www.youtube.com/watch?v=pfk5l2sdteE
24,49,blue,yung kai,15,https://www.youtube.com/watch?v=IpFX2vq8HKw
25,n/a,Snappy Happy,Happy Bob,1,https://www.youtube.com/watch?v=dPd0niWA7zE
26,n/a,My Truck,BRELAND,1,https://www.youtube.com/watch?v=ezqTO4xaH6A
27,n/a,12 to 12,sombr,1,https://www.youtube.com/watch?v=cZgUiR31m-Y
28,31,Somebody,Latto,9,https://www.youtube.com/watch?v=qB7kLilZWwg
29,33,FUNK DO SURPRISE,KXZINVK & Mc Roba Cena & MC Da 12,3,https://www.youtube.com/watch?v=LGWhlUL2ejQ
30,38,DIA DELÍCIA,Nakama & ΣP,13,https://www.youtube.com/watch?v=2cnloO84LA0
31,n/a,,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,1,n/a
32,39,Slash Inferno,Waterflame & Teminite & Boom Kitty & Autodidactic Studios,3,https://www.youtube.com/watch?v=X9FMvw8V6ZY
33,50,TAKEDOWN,TWICE &  & JIHYO & CHAEYOUNG,5,https://www.youtube.com/watch?v=l8Dr7vzMSVE
34,n/a,Breakin' Dishes,Rihanna,1,https://www.youtube.com/watch?v=LO71pC20BDI
35,n/a,Odd Sonic Textures,Happy Bob,1,https://www.youtube.com/watch?v=XWHX11NWJZc
36,32,Score Suite,Marcelo Zarvos,2,https://www.youtube.com/watch?v=nXg0WUHAXMk
37,n/a,LUNA BALA,Yb Wasg'ood & Ariis,16,n/a
38,n/a,Take Me Thru Dere,Metro Boomin & Quavo & Breskii & YKNIECE & DJ Spinz,1,https://www.youtube.com/watch?v=iUZyn_w6Y1Q
39,48,Illegal,PinkPantheress,12,https://www.youtube.com/watch?v=TFWXqLSr4ZM
40,n/a,Pale Air,Blaze Riot,1,https://www.youtube.com/watch?v=AOrjB38bAlw
41,n/a,It Depends (The Remix) (feat. Bryson Tiller & USHER),Chris Brown,1,https://www.youtube.com/watch?v=9Pe8fZSU7uA
42,46,Dame Un Grrr,Fantomel & Kate Linn,12,https://www.youtube.com/watch?v=wHlAnhkLUvw
43,40,Best of Wives and Best of Women,Lin-Manuel Miranda & Phillipa Soo,4,https://www.youtube.com/watch?v=hfmvDjPa2TU
44,n/a,Shake It To The Max (FLY) (Remix),Moliy & Silent Addy & Skillibeng & Shenseea,16,https://www.youtube.com/watch?v=UjBhbMMgLzc
45,n/a,Firework,Starlite Singers,1,https://www.youtube.com/watch?v=6Pkag7Q3OEk
46,n/a,Timeless Swing Fever,Velvet,1,https://www.youtube.com/watch?v=gg9WUeBNCrY
47,n/a,The Jolly Umbrella,Happy Bob,1,https://www.youtube.com/watch?v=VbNJmOGSr2w
48,n/a,Mooo!,Doja Cat,1,https://www.youtube.com/watch?v=mXnJqYwebF8
49,n/a,Gang Gang (feat. Rosecrans Hopout YS PhoPho8ight & Hitta J3),Chef Boy,2,https://www.youtube.com/watch?v=vJ5FNqqWzGI
50,n/a,because i liked a boy,Sabrina Carpenter,8,https://www.youtube.com/watch?v=1YUBbF24H44
