Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,What You Is,YoungBoy Never Broke Again & Mellow Rackz,4,https://www.youtube.com/watch?v=5p29VznFXhg
2,35,Montagem Miau (Ultra Slowed),Lenar,2,n/a
3,2,Ocean Eyes,Billie Eilish,9,https://www.youtube.com/watch?v=viimfQi_pUw
4,7,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,6,https://www.youtube.com/watch?v=Hd5nXTyaXZg
5,24,Treat You Better,Shawn Mendes,6,https://www.youtube.com/watch?v=lY2yjAdbvdQ
6,9,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,4,https://www.youtube.com/watch?v=Cpc1akSzjPY
7,5,Doot Doot (6 7),Skrilla,21,https://www.youtube.com/watch?v=XnygT6ANLzQ
8,46,PIBBLE WASH MY BELLY FUNK,real wayne & aphonkus & DJ MOG,2,https://www.youtube.com/watch?v=HZqh9WwPVss
9,3,Confess your love (feat. ola.wav),Jiandro,13,https://www.youtube.com/watch?v=LfHm50UJW6U
10,12,All I Want for Christmas Is You,Mariah Carey,22,https://www.youtube.com/watch?v=aAkMkVFwAoo
11,4,Sugar On My Tongue,Tyler The Creator,12,https://www.youtube.com/watch?v=ljHdccyQbT4
12,n/a,blue,yung kai,17,https://www.youtube.com/watch?v=IpFX2vq8HKw
13,6,What's Up?,4 Non Blondes,4,https://www.youtube.com/watch?v=6NXnxTNIWkc
14,13,Hate Me,Ellie Goulding & Juice WRLD,2,https://www.youtube.com/watch?v=UZwi9SHgzGY
15,16,Wish (Live),Trippie Redd & Diplo,5,https://www.youtube.com/watch?v=zOdKS_ayMyM
16,8,Pitbull Terrier,Die Antwoord,3,https://www.youtube.com/watch?v=JvMXVHVr72A
17,n/a,NO BATIDÃO,slxughter,1,https://www.youtube.com/watch?v=GXioir-fujY
18,n/a,TURN UP,PlaqueBoyMax & Rakai & BunnaB,1,https://www.youtube.com/watch?v=7IsidEhdLa0
19,n/a,LET THE WORLD BURN,Chris Grey,1,https://www.youtube.com/watch?v=fdJrSjMgPFE
20,36,Dark Red (Funk Ultra Slowed),ZMAJOR & dearukia & SEKIMANE & zxnc,2,https://www.youtube.com/watch?v=zVxS9Jaj32o
