Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,misery.,pupsies,5,https://www.youtube.com/watch?v=qJKcADiAuAw
2,3,FREAKED OUT,Fat Papi & prodshushy,3,https://www.youtube.com/watch?v=Q6978DnF8C4
3,4,GUT GENUG (feat. Blumengarten & Shirin David),KITSCHKRIEG,8,https://www.youtube.com/watch?v=0GnA8VYOfko
4,9,Animal,KATSEYE,2,https://www.youtube.com/watch?v=m7k9UMcHbr0
5,5,I'm a chud im a chud,WEST STATION,5,https://www.youtube.com/watch?v=w3gOOA_1M4Q
6,8,Dai Dai,Shakira & Burna Boy,9,https://www.youtube.com/watch?v=fcnDmrtj6Sk
7,7,ICONIC BY MISTAKE,LE SSERAFIM & ILLIT & KATSEYE,8,https://www.youtube.com/watch?v=27C4pfRsf9g
8,6,Ghetto Love Story,BabyChiefDoit,4,https://www.youtube.com/watch?v=C-47Vg6Eq5o
9,18,Quiet on the Creek,Saucy Santana,2,https://www.youtube.com/watch?v=MKl7uciEUE4
10,2,unhappy,s0rrow,4,https://www.youtube.com/watch?v=-ryNfrDCpmI
11,12,Haaland (Ha Ha Ha),CTID,4,https://www.youtube.com/watch?v=cixr-7fMWwU
12,10,Alone,Alan Walker,4,https://www.youtube.com/watch?v=1-xGerv5FOk
13,n/a,Got That Feelin,BBE AJ & Boosie Badazz,1,https://www.youtube.com/watch?v=Ypdy3SVXUwE
14,15,DYW Dance,Sunny 6700,7,https://www.youtube.com/watch?v=i_T88LjTuDc
15,14,LET ME DRIVE FUNK,DJ VRK & DJ TUUV & ahh,6,https://www.youtube.com/watch?v=iQKXrPZ-P5k
16,11,Life Goes On,Oliver Tree,8,https://www.youtube.com/watch?v=8F2s8ivKXNY
17,30,MONTAGEM GUERREIRO (Slowed),Avenxir & SUNJI,2,https://www.youtube.com/watch?v=vJA3bHNjX0M
18,17,Golden Brown,The Stranglers,13,https://www.youtube.com/watch?v=Kp-kFTSFyR0
19,n/a,Meant To Be,Cuntsniffer Archive,1,https://www.youtube.com/watch?v=TBrR-xL7lks
20,29,she goes by.,where.t.at,11,https://www.youtube.com/watch?v=VEA98Y4a6sU
21,31,Kwik Flip | YTPMV,90's or 20's cartoons,8,https://www.youtube.com/watch?v=yHyPIGOy5fI
22,n/a,Kute & Neat,Sasique,3,https://www.youtube.com/watch?v=CqZPcn-Gr1w
23,16,matrix (bl studio loop) (slowed),chrmbchrmb,7,https://www.youtube.com/watch?v=J43OKxcNTD4
24,n/a,don't miss me,Claire Rosinkranz,5,https://www.youtube.com/watch?v=DpRktghv0mc
25,20,Love & Smiles,ay3demi & Keno Carter,7,https://www.youtube.com/watch?v=1QZlz5Eyv94
26,24,Earrings,Malcolm Todd,14,https://www.youtube.com/watch?v=a4tdS3IB294
27,n/a,Ransom,Lil Tecca,21,https://www.youtube.com/watch?v=1XzY2ij_vL4
28,19,Bang Bang Bang (lil yappa/minus b remix) (feat. BBpanzu),Lil Yappa,13,https://www.youtube.com/watch?v=OLKjWMvoY40
29,27,MONTAGEM URANIUM (Slowed),ZAYLO,4,https://www.youtube.com/watch?v=1Z0ACURnv1g
30,n/a,Don't put bananas in my butt,Outerscope,1,https://www.youtube.com/watch?v=xumuoyEyEEI
31,21,bloodstream,Alyssa Grace,3,https://www.youtube.com/watch?v=FOJ4A4wixDg
32,35,kompa pasión,Frozy,19,https://www.youtube.com/watch?v=IV80Qkf8dPI
33,26,Cinderella (feat. Ty Dolla $ign),Mac Miller,7,https://www.youtube.com/watch?v=FFamEq1PilQ
34,39,hate that i made you love me,Ariana Grande,2,https://www.youtube.com/watch?v=82-jTNka3uc
35,28,Memory Reboot,VØJ & Narvent,18,https://www.youtube.com/watch?v=wL8DVHuWI7Y
36,32,ふたつの木馬 (feat. Hatsune Miku),KIKUO,5,https://www.youtube.com/watch?v=lSreY_7i6No
37,n/a,MONTAGEM ONE MORE GAME 2,DJ KVNXD & GRIXOR,1,https://www.youtube.com/watch?v=94GBvWlzxUg
38,n/a,APOLOGISE IN BRAZIL ,DJ QEELZZ & XSKAY11,1,https://www.youtube.com/watch?v=iVQxG3mYqzk
39,23,Run It Back #JerseyClub (feat. Nueve Lio),Salako,6,https://www.youtube.com/watch?v=SIzYokE5Fuk
40,44,Atlantis,Seafret,6,https://www.youtube.com/watch?v=gVAy3IZiL0s
41,n/a,Bang Bang Bang - Silly Funk,Zachz Winner,1,https://www.youtube.com/watch?v=iiI5fpUK9AU
42,37,LEGACY (Slowed down) (feat. PIXY),backfromparadise,4,https://www.youtube.com/watch?v=NAzaaMUHfx0
43,25,Impostor Syndrome,Sidney Gish,10,https://www.youtube.com/watch?v=GwSSrwryxN0
44,49,i just get so nervy (ultra slowed),HYFY,10,https://www.youtube.com/watch?v=CJ044DqMMbE
45,n/a,I’m a Pancake,Moris,1,https://www.youtube.com/watch?v=ZrpifKXyrsM
46,n/a,Ela ké Leitada,Prod.Nifour & Mc Gw & CACAU CHUU & Storys Funk,1,https://www.youtube.com/watch?v=AqLATnmNyHY
47,34,worry (Slowed),LONOWN & riserayss,7,https://www.youtube.com/watch?v=f3DoKx_R1_s
48,46,the cure,Olivia Rodrigo,7,https://www.youtube.com/watch?v=B402rKl4bUg
49,50,HOMER FIRE,DJ MIKIYAS,2,https://www.youtube.com/watch?v=qVDgmhCinQQ
50,n/a,Headlights (feat. KIDDO),Alok & Alan Walker,15,https://www.youtube.com/watch?v=zDy8K0o_ksA
