Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,26,misery.,pupsies,2,https://www.youtube.com/watch?v=qJKcADiAuAw
2,1,GUT GENUG (feat. Blumengarten & Shirin David),KITSCHKRIEG,5,https://www.youtube.com/watch?v=0GnA8VYOfko
3,7,Fat Little Chud,miv@me,2,https://www.youtube.com/watch?v=w3gOOA_1M4Q
4,4,ICONIC BY MISTAKE,LE SSERAFIM & ILLIT & KATSEYE,5,https://www.youtube.com/watch?v=27C4pfRsf9g
5,3,Life Goes On,Oliver Tree,5,https://www.youtube.com/watch?v=8F2s8ivKXNY
6,8,LET ME DRIVE FUNK,DJ VRK & DJ TUUV & ahh,3,https://www.youtube.com/watch?v=iQKXrPZ-P5k
7,10,Dai Dai,Shakira & Burna Boy,6,https://www.youtube.com/watch?v=fcnDmrtj6Sk
8,2,matrix (bl studio loop) (slowed),chrmbchrmb,4,https://www.youtube.com/watch?v=J43OKxcNTD4
9,6,Bang Bang Bang (lil yappa/minus b remix) (feat. BBpanzu),Lil Yappa,10,https://www.youtube.com/watch?v=OLKjWMvoY40
10,11,MONTAGEM ONE MORE GAME,DJ KVNXD,3,https://www.youtube.com/watch?v=nl2PNxN5ccQ
11,29,Sua amiga eu vou pegar,MC Lan & MC WM,2,https://www.youtube.com/watch?v=sErngyjY5fI
12,9,DYW Dance,Sunny 6700,4,https://www.youtube.com/watch?v=i_T88LjTuDc
13,n/a,Ghetto Love Story,BabyChiefDoit,1,https://www.youtube.com/watch?v=C-47Vg6Eq5o
14,23,ふたつの木馬 (feat. Hatsune Miku),KIKUO,2,https://www.youtube.com/watch?v=lSreY_7i6No
15,22,unhappy,s0rrow,2,https://www.youtube.com/watch?v=-ryNfrDCpmI
16,14,Never Have I Ever,Scott Frenzel,8,https://www.youtube.com/watch?v=5SykX2_t1Vw
17,16,Self Aware,Temper City,7,https://www.youtube.com/watch?v=mh4AQkw4Jjc
18,17,Chicago,Michael Jackson,8,https://www.youtube.com/watch?v=Y_8mUx4VOmo
19,20,Cinderella (feat. Ty Dolla $ign),Mac Miller,4,https://www.youtube.com/watch?v=FFamEq1PilQ
20,18,Golden Brown,The Stranglers,10,https://www.youtube.com/watch?v=Kp-kFTSFyR0
21,15,Champions (WC 26),IShowSpeed,5,https://www.youtube.com/watch?v=vrY1THC_NQE
22,34,I'm a Coconut,Coconut Hen,2,https://www.youtube.com/watch?v=1J4YK_CO51E
23,12,Cheerleader (Felix Jaehn Remix),OMI,12,https://www.youtube.com/watch?v=jGflUbPQfW8
24,37,Run It Back #JerseyClub (feat. Nueve Lio),Salako,3,https://www.youtube.com/watch?v=SIzYokE5Fuk
25,n/a,The Chase,Scott Frenzel,1,https://www.youtube.com/watch?v=F1ozK8G9XMQ
26,24,Copines,Aya Nakamura,13,https://www.youtube.com/watch?v=EkGiGf8utCM
27,32,Earrings,Malcolm Todd,11,https://www.youtube.com/watch?v=a4tdS3IB294
28,13,she goes by.,where.t.at,8,https://www.youtube.com/watch?v=VEA98Y4a6sU
29,28,the cure,Olivia Rodrigo,4,https://www.youtube.com/watch?v=B402rKl4bUg
30,25,i just get so nervy (ultra slowed),HYFY,7,https://www.youtube.com/watch?v=CJ044DqMMbE
31,n/a,Total Eclipse of the Heart,Bonnie Tyler,1,https://www.youtube.com/watch?v=lcOxhH8N3Bo
32,35,LAST CHANCE FUNK (Alt Version Ultra Slowed),TEENWXVE,14,https://www.youtube.com/watch?v=9lBD7QQmoYE
33,n/a,Neva Play (feat. RM),Megan Thee Stallion,1,https://www.youtube.com/watch?v=TpYTyAaTRts
34,19,Kwik Flip | YTPMV,90's or 20's cartoons,5,https://www.youtube.com/watch?v=yHyPIGOy5fI
35,27,Beat It,Michael Jackson,14,https://www.youtube.com/watch?v=oRdxUFDoQe0
36,n/a,Fine Ass,Don Trip,1,https://www.youtube.com/watch?v=HF-qwYUPOXw
37,31,Billie Jean,Michael Jackson,12,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
38,n/a,POU IN BRAZIL,VHM4D & akrai & KIXIA & Mc Gw,1,https://www.youtube.com/watch?v=jkjiaGQs5TM
39,n/a,They're Hiding In Plain Sight. Can't You See?,Crossing Bridges,1,https://www.youtube.com/watch?v=ym8mEaYgYRo
40,36,Headlights (feat. KIDDO),Alok & Alan Walker,13,https://www.youtube.com/watch?v=zDy8K0o_ksA
41,n/a,Impostor Syndrome,Sidney Gish,7,https://www.youtube.com/watch?v=GwSSrwryxN0
42,n/a,Pipelinefunk Concert (Live),Armin Küpper,6,https://www.youtube.com/watch?v=p8GcHoSIPDg
43,45,worry (Slowed),LONOWN & riserayss,4,https://www.youtube.com/watch?v=f3DoKx_R1_s
44,n/a,MONTAGEM URANIUM (Slowed),ZAYLO,1,https://www.youtube.com/watch?v=1Z0ACURnv1g
45,30,Stephanie,Nafeesisboujee,13,https://www.youtube.com/watch?v=GUJNGemGFy8
46,n/a,LEGACY (Slowed down) (feat. PIXY),backfromparadise,1,https://www.youtube.com/watch?v=NAzaaMUHfx0
47,n/a,Run Rabbit,Mollie Elizabeth,3,https://www.youtube.com/watch?v=vzHOdM_8faM
48,n/a,kompa pasión,Frozy,16,https://www.youtube.com/watch?v=IV80Qkf8dPI
49,n/a,Haaland (Ha Ha Ha),CTID,1,https://www.youtube.com/watch?v=cixr-7fMWwU
50,n/a,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin,5,https://www.youtube.com/watch?v=LrM_Y39Gmhk
