Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,2,Doot Doot (6 7),Skrilla,18,https://www.youtube.com/watch?v=XnygT6ANLzQ
2,3,Ocean Eyes,Billie Eilish,6,https://www.youtube.com/watch?v=viimfQi_pUw
3,1,Sugar On My Tongue,Tyler The Creator,9,https://www.youtube.com/watch?v=ljHdccyQbT4
4,4,Confess your love (feat. ola.wav),Jiandro,10,https://www.youtube.com/watch?v=LfHm50UJW6U
5,44,Bring It Back,Travis Porter,2,https://www.youtube.com/watch?v=VTCkmvSwIjw
6,n/a,What You Is,YoungBoy Never Broke Again & Mellow Rackz,1,https://www.youtube.com/watch?v=5p29VznFXhg
7,n/a,Havana (feat. Young Thug),Camila Cabello,7,n/a
8,5,The Fate of Ophelia,Taylor Swift,3,https://www.youtube.com/watch?v=ko70cExuzZM
9,21,L O V E,Michael Bublé,6,https://www.youtube.com/watch?v=sdOvR6Io9Ao
10,7,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,15,https://www.youtube.com/watch?v=yebNIHKAC4A
11,6,forget卡点舞,DJ易拉罐,5,https://www.youtube.com/watch?v=CSnF5xMwXwU
12,8,Friendships (feat. Leony),Pascal Letoublon,16,https://www.youtube.com/watch?v=1g3Toj4-RMg
13,10,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,3,https://www.youtube.com/watch?v=Hd5nXTyaXZg
14,41,BI,KISLOTV,4,https://www.youtube.com/watch?v=fQAovWwAtws
15,43,Game over!,Harris Cole,5,https://www.youtube.com/watch?v=fTQb5umb1dg
16,n/a,La Cucaracha,The Mariachis,1,https://www.youtube.com/watch?v=SHYUkAthMN0
17,26,Wish (Live),Trippie Redd & Diplo,2,https://www.youtube.com/watch?v=zOdKS_ayMyM
18,9,Bark Like You Want It,Sir Mix-A-Lot,5,https://www.youtube.com/watch?v=r06VZKwykgU
19,18,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,10,https://www.youtube.com/watch?v=EmmYDU3Rjpg
20,n/a,What's Up?,4 Non Blondes,1,https://www.youtube.com/watch?v=6NXnxTNIWkc
21,11,YOSHO HAI MONTAGEM,Torbahed,4,https://www.youtube.com/watch?v=Wo__M-KVcYQ
22,13,The Days,CHRYSTAL,10,https://www.youtube.com/watch?v=o8RcHrz2-uU
23,31,Mooo!,Doja Cat,7,https://www.youtube.com/watch?v=mXnJqYwebF8
24,n/a,Nyanpasu (Rynti M Remix),Renge Miyauchi,1,https://www.youtube.com/watch?v=rvHBCCgvxLM
25,14,SODA POP,Saja Boys,16,https://www.youtube.com/watch?v=eny0BqmSwmM
26,33,Before You Go,Lewis Capaldi,4,https://www.youtube.com/watch?v=Jtauh8GcxBY
27,19,MENTE MÁ,Nakama & Mc Staff,9,https://www.youtube.com/watch?v=cXDOHqa_QgY
28,50,iSpy (feat. Lil Yachty),KYLE,2,https://www.youtube.com/watch?v=5XK4v2fgMPU
29,n/a,CRY,Parker Jack,2,https://www.youtube.com/watch?v=Ife2Cv4UoNo
30,23,CLIMA LINDO (SLOWED),GXMZ & Repsaj,9,https://www.youtube.com/watch?v=P12jBX75B48
31,12,When Did You Get Hot?,Sabrina Carpenter,5,https://www.youtube.com/watch?v=bnhV-OBnGCE
32,17,poster boy,2hollis,6,https://www.youtube.com/watch?v=H2vTrHc-OGk
33,30,Treat You Better,Shawn Mendes,3,https://www.youtube.com/watch?v=lY2yjAdbvdQ
34,22,Milkshake,Kelis,14,https://www.youtube.com/watch?v=6AwXKJoKJz4
35,36,NEWJEANS (Sped Up),Turtlecommercial,4,https://www.youtube.com/watch?v=Dqpmr-YKE80
36,32,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,13,https://www.youtube.com/watch?v=cWppAbqm9I8
37,37,Spooky Scary Skeletons (Undead Tombstone Remix),Andrew Gold,11,https://www.youtube.com/watch?v=Qbwt0ks5Cvc
38,29,𝐀𝐧𝐚𝐥𝐨𝐠 𝐇𝐨𝐫𝐫𝐨𝐫 𝐅𝐮𝐧𝐤 (𝟔𝟕) - 𝐃𝐉 𝐑𝐚𝐮𝐥𝐢𝐩𝐮𝐞𝐬 - (𝐒𝐮𝐩𝐞𝐫 𝐒𝐥𝐨𝐰𝐞𝐝),qqPues & DJ Raulipues,5,https://www.youtube.com/watch?v=LAREL-WTRZY
39,n/a,Lost Boy,Ruth B.,9,https://www.youtube.com/watch?v=58TBZnvyGwQ
40,25,I Think I Like You Better When You’re Gone,Reneé Rapp,3,https://www.youtube.com/watch?v=UrKffSWHr8g
41,n/a,Shiny,Easykid & Dysbit,1,https://www.youtube.com/watch?v=SmFsXCEiGQA
42,16,BIG GIRLS,ScarLip & FendiDa Rappa & Dank Demoss,2,https://www.youtube.com/watch?v=wZtGUOoPUSc
43,35,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,10,https://www.youtube.com/watch?v=pUklUX8ITeo
44,28,ACELERADA,sma$her & MXZI,11,https://www.youtube.com/watch?v=YQkeI3BQdP0
45,48,Epic Inspiration,AShamaluevMusic,3,https://www.youtube.com/watch?v=CvLHKUtcFg4
46,n/a,Shut up My Moms Calling,Hotel Ugly,1,https://www.youtube.com/watch?v=HVmpI3d11oM
47,24,Take Me Thru Dere,Metro Boomin & Quavo & Breskii & YKNIECE & DJ Spinz,7,https://www.youtube.com/watch?v=iUZyn_w6Y1Q
48,n/a,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,1,https://www.youtube.com/watch?v=Cpc1akSzjPY
49,27,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,2,https://www.youtube.com/watch?v=eIQqtWOA12c
50,n/a,Spooky Scary Skeletons (Undead Tombstone Remix),Andrew Gold,1,https://www.youtube.com/watch?v=Qbwt0ks5Cvc
