Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Yoga,Janelle Monáe & Jidenna,3,https://www.youtube.com/watch?v=0OkB6p_FZAw
2,2,Babydoll,Dominic Fike,4,https://www.youtube.com/watch?v=KqMOKCRgvD8
3,4,NO BATIDÃO,slxughter,19,https://www.youtube.com/watch?v=GXioir-fujY
4,3,Bazooka,Miami XO,5,https://www.youtube.com/watch?v=pCcT7EkYnoE
5,5,Two Birds,Regina Spektor,7,https://www.youtube.com/watch?v=Bb3_oDWiD_w
6,n/a,Sea Lion,Yuno Miles,1,https://www.youtube.com/watch?v=Bc9xCCx8fJU
7,10,Hate Me,Ellie Goulding & Juice WRLD,9,https://www.youtube.com/watch?v=UZwi9SHgzGY
8,6,Lush Life,Zara Larsson,14,https://www.youtube.com/watch?v=tD4HCZe-tew
9,9,Big Guy,Ice Spice,15,https://www.youtube.com/watch?v=7yaU0qXlgbo
10,28,Wet,Dazey and the Scouts,2,https://www.youtube.com/watch?v=Qi2R3d8hiwM
11,27,E85,Don Toliver,2,https://www.youtube.com/watch?v=rVD-zV6ctoM
12,7,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,6,https://www.youtube.com/watch?v=skhxizRYxps
13,50,TRILLIUM HARDTEKK,S3RL & Bearn,2,https://www.youtube.com/watch?v=OgiAdfUKJ3c
14,8,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,10,https://www.youtube.com/watch?v=J7Xzgcu6vVk
15,20,What I Was Born To Do,Original Broadway Cast Recording,8,https://www.youtube.com/watch?v=r9SKTsG0hUA
16,17,World's Smallest Violin,AJR,3,https://www.youtube.com/watch?v=PEnJbjBuxnw
17,14,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,9,https://www.youtube.com/watch?v=qVuwUR5_FsE
18,n/a,Meet Me At Our Spot,THE ANXIETY & WILLOW & Tyler Cole,1,https://www.youtube.com/watch?v=RyJ5GbzEZC0
19,16,White Keys,Dominic Fike,5,https://www.youtube.com/watch?v=Cz200209hOs
20,13,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,15,https://www.youtube.com/watch?v=eIQqtWOA12c
21,12,KINDA HOMELESS FUNK,Anitor & HugeBoi & Vlxnor,4,https://www.youtube.com/watch?v=M1IPEJA1ybU
22,19,Stateside,PinkPantheress & Zara Larsson,9,https://www.youtube.com/watch?v=lIxQe1R5hs0
23,18,That's What I Like,Bruno Mars,9,https://www.youtube.com/watch?v=PMivT7MJ41M
24,15,DtMF,Bad Bunny,6,https://www.youtube.com/watch?v=v9T_MGfzq7I
25,39,DON'T PLAY WITH ME,Thompsxn Therapy,2,https://www.youtube.com/watch?v=ligBrggzzeE
26,29,RUDE!,Hearts2Hearts,2,https://www.youtube.com/watch?v=F7sGJVUrkjQ
27,35,Go Away (feat. Best Coast),Weezer,2,https://www.youtube.com/watch?v=pnTIsubYbCU
28,n/a,Dracula (Remix) (feat. JENNIE),Tame Impala,1,https://www.youtube.com/watch?v=0UPDBODtxzw
29,23,Phantom,EsDeeKid & Rico Ace,13,https://www.youtube.com/watch?v=hmdzniMJOZs
30,32,Sleep Well(Live),Cg5,8,https://www.youtube.com/watch?v=lsZkA0SZHN8
31,24,Só Bundão Grandão,DJ Guuga,3,https://www.youtube.com/watch?v=gn9Qi6XaC6s
32,n/a,Art of Guitar (feat. Marcin),RJ Pasin,9,https://www.youtube.com/watch?v=iHlfdyLMHOo
33,30,Gozalo (Remix),Ariis,11,https://www.youtube.com/watch?v=GkqzojRVtGo
34,25,I Thought I Saw Your Face Today,She & Him,10,https://www.youtube.com/watch?v=pyGU-UudvrM
35,21,DREAM FUNK,LUMIX & KXRSED,5,https://www.youtube.com/watch?v=vNjDh-yOF0c
36,22,What You Saying,Lil Uzi Vert,9,https://www.youtube.com/watch?v=pwVEpinyTTQ
37,36,Without Me,Halsey,8,https://www.youtube.com/watch?v=ZAfAud_M_mg
38,48,Shower,Becky G,2,https://www.youtube.com/watch?v=50-_oTkmF5I
39,26,love you love you not,little purr man,2,https://www.youtube.com/watch?v=yGi7ZgPC4hA
40,n/a,Double Dutch Bus,Frankie Smith,1,https://www.youtube.com/watch?v=fK9hK82r-AM
41,11,Without You (feat. USHER),David Guetta,3,https://www.youtube.com/watch?v=jUe8uoKdHao
42,45,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,6,https://www.youtube.com/watch?v=72zXataH1H8
43,42,MATADORA (Super Slowed),Brazilian Phonk & Bass Boosted & Trap Nation (US),4,https://www.youtube.com/watch?v=9jSq99uN7q0
44,n/a,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,6,https://www.youtube.com/watch?v=bEYiPCbHAtM
45,40,Riley,Juicy J & Lex Luger,14,https://www.youtube.com/watch?v=ZjgreqGLbqc
46,n/a,Charlie Kirky Funk (Slowed),,1,https://www.youtube.com/watch?v=nW0UG7xcOeM
47,43,MONTAGEM DOMER (Super Slowed),Paizo & DJ LXILL & DJ FallThox,2,https://www.youtube.com/watch?v=XURd55MFBCU
48,n/a,My Superhero Movie (feat. Jacob Jeffries),Teen Titans Go!,1,https://www.youtube.com/watch?v=ftu_GzPh6Jo
49,38,Sea of Thieves,snackrunner,2,https://www.youtube.com/watch?v=fKgP--B5ncc
50,37,i walk this earth all by myself,EKKSTACY,13,https://www.youtube.com/watch?v=uto7z_YEuaM
