Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,NO BATIDÃO,slxughter,18,https://www.youtube.com/watch?v=GXioir-fujY
2,n/a,Jogi Ji Dheere Dheere,Jaspal Singh,5,https://www.youtube.com/watch?v=Kjuc6T8Isrw
3,2,Dil Lagana Mana Tha,Krish Mondal & Kishore Mondal,6,https://www.youtube.com/watch?v=55BS8QO5C9o
4,3,PASSO BEM SOLTO (Slowed),ATLXS,50,https://www.youtube.com/watch?v=NT4eF9YsYnM
5,9,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,12,https://www.youtube.com/watch?v=eIQqtWOA12c
6,4,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,8,https://www.youtube.com/watch?v=J7Xzgcu6vVk
7,n/a,Google Bata Do Khush Rehne Ki Dawai,Sadab Ki Power & Nitesh Thakur,1,https://www.youtube.com/watch?v=zUmucTiDrlM
8,5,Mai Tere Ishq Mein 2.0,Danish Alfaaz & Bohemia & Lata Mangeshkar,3,https://www.youtube.com/watch?v=anuuknQbmL0
9,7,Friendships (feat. Leony),Pascal Letoublon,67,https://www.youtube.com/watch?v=1g3Toj4-RMg
10,11,VOCE NA MIRA,SLOWERB,10,https://www.youtube.com/watch?v=Wr3hSOcEvKw
11,n/a,Bairi,Virat Jayal & Pradeep Solanki & Heena,1,https://www.youtube.com/watch?v=yrjDEU9F1bw
12,n/a,Badri Ki Dulhania,Dev Negi & Neha Kakkar & Monali Thakur & IKKA,4,https://www.youtube.com/watch?v=1YBl3Zbt80A
13,n/a,Hori Khele Raghuveera,Amitabh Bachchan & Sukhwinder Singh & Alka Yagnik & Udit Narayan,3,https://www.youtube.com/watch?v=87FYp3YLEBM
14,n/a,Jay Bhole ki Bol ke,Dark Mxly,1,https://www.youtube.com/watch?v=8Pr-S594zcw
15,n/a,Balam Pichkari,Pritam & Vishal Dadlani & Shalmali Kholgade & Amitabh Bhattacharya,3,https://www.youtube.com/watch?v=0WtRNGubWGA
16,14,Gozalo (Remix),Ariis,10,https://www.youtube.com/watch?v=GkqzojRVtGo
17,12,Two Birds,Regina Spektor,4,https://www.youtube.com/watch?v=Bb3_oDWiD_w
18,18,Só Bundão Grandão,DJ Guuga,2,https://www.youtube.com/watch?v=gn9Qi6XaC6s
19,n/a,KINDA HOMELESS FUNK,Anitor & HugeBoi & Vlxnor,1,https://www.youtube.com/watch?v=M1IPEJA1ybU
20,24,MATADORA (Super Slowed),Brazilian Phonk & Bass Boosted & Trap Nation (US),4,https://www.youtube.com/watch?v=9jSq99uN7q0
21,13,Sanatani phonk,Pextyle,3,https://www.youtube.com/watch?v=DE5WHrUzcEo
22,23,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,6,https://www.youtube.com/watch?v=qVuwUR5_FsE
23,20,Big Guy,Ice Spice,13,https://www.youtube.com/watch?v=7yaU0qXlgbo
24,n/a,Lahe Lahe Rangab Salwarwa,Pawan Singh & Aarohi Bhardwaj,1,https://www.youtube.com/watch?v=jbhc4YgN-4U
25,17,Lush Life,Zara Larsson,11,https://www.youtube.com/watch?v=tD4HCZe-tew
26,25,Manasha,Ashreveal,12,https://www.youtube.com/watch?v=G58pphuWFwo
27,n/a,Nach Nagin Jaisan,Raushan Rohi & Khushi Kakkar,1,https://www.youtube.com/watch?v=-gZylSjWtPo
28,n/a,Maay Bhavani (From "Tanhaji - The Unsung Warrior"),Sukhwinder Singh & Shreya Ghoshal & Ajay Gogavale,1,https://www.youtube.com/watch?v=YETdM2gmQQQ
29,16,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,6,https://www.youtube.com/watch?v=72zXataH1H8
30,29,Bebot,The Black Eyed Peas,2,https://www.youtube.com/watch?v=wESgcExetso
31,21,Status,Khasa Aala Chahar & Anny Kathwar,9,https://www.youtube.com/watch?v=A7Dk-ixHKjY
32,10,Noor E Ramzan,Farhan Ali Waris,3,https://www.youtube.com/watch?v=vy2kpNPGEzM
33,19,Kithe Reh Gaya,Neeti Mohan & Abhijit Vaghani,4,https://www.youtube.com/watch?v=EkpHXNymFYE
34,27,Sheesha (Aakhya Mai Aakh Ghali Jo Bairan),Mitta Ror & Swara Verma,6,https://www.youtube.com/watch?v=aRNfSqsgrgE
35,n/a,MALU MALU,dia & INDAHKUS,1,https://www.youtube.com/watch?v=M0gHZvLTJyI
36,31,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,16,https://www.youtube.com/watch?v=sTHhz9LXdjw
37,32,Lutt Le Gaya,Shashwat Sachdev & Simran Choudhary,5,https://www.youtube.com/watch?v=VWCBZpvjZfc
38,41,SLAVA FUNK!,MVSTERIOUS,14,n/a
39,n/a,BI,KISLOTV,11,https://www.youtube.com/watch?v=fQAovWwAtws
40,28,Shararat,Shashwat Sachdev & Madhubanti Bagchi & Jasmine Sandlas,11,https://www.youtube.com/watch?v=YyepU5ztLf4
41,n/a,Bhojpuri Song,Neelkamal Singh & Shilpi Raj,2,https://www.youtube.com/watch?v=rEcdcD25_t8
42,45,dança zip (feat. Duduzinho),Ariis,8,https://www.youtube.com/watch?v=nSr5qSN5cWE
43,n/a,SOL VIBRA (Extreme Slowed),DJ Zarek & Mc Staff & ΣP,1,https://www.youtube.com/watch?v=9Ezha8m9m_E
44,n/a,TIKI TIKI (Ultra Slowed),QMIIR,1,https://www.youtube.com/watch?v=waCkf8TFGX4
45,33,فصلة,Flipperachi,13,https://www.youtube.com/watch?v=1XOJFuKHCck
46,n/a,Zulum Kar Daalyo Sitam Kar Daalyo,Lakhbir Singh Lakha,2,https://www.youtube.com/watch?v=gmUPxafCmz8
47,n/a,जन्म दिहा बाघवा के,Tuntun Yadav & Shivam Chauhan,1,https://www.youtube.com/watch?v=3ElXyr0havA
48,38,Hamari Video Viral Karo Hadtal (Hindi),Naveen Shrivastava,3,https://www.youtube.com/watch?v=-FrfYxHuKoM
49,34,Maya Hoge Maya,Acharya Sahu & Anita Mandal,3,https://www.youtube.com/watch?v=C3JPHYvpVtc
50,n/a,AGUS FUNK (ULTRA SLOWED),ghozx & DJ VIBER & XENO XID,16,https://www.youtube.com/watch?v=0H2-Lz3mykM
