Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,63,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,2,Copines,Aya Nakamura,7,https://www.youtube.com/watch?v=EkGiGf8utCM
3,47,Deewana Deewana Main Tera,Kumar Sanu & Sadhana Sargam & Anu Malik,2,https://www.youtube.com/watch?v=wj5CAqdvteE
4,3,Sou Favela,Mc Bruninho & Vitinho Ferrari,4,https://www.youtube.com/watch?v=PvJIwSPte4E
5,7,Bairan,Banjaare,11,https://www.youtube.com/watch?v=oafxkMv4xnc
6,4,NO BATIDÃO,slxughter,31,https://www.youtube.com/watch?v=GXioir-fujY
7,5,Headlights (feat. KIDDO),Alok & Alan Walker,11,https://www.youtube.com/watch?v=zDy8K0o_ksA
8,11,Raga of Revenge,Anirudh,2,https://www.youtube.com/watch?v=NAkQVL61BRI
9,n/a,Mas Bahlil Ganteng ( MBG ),Wahyu Fariansyah,1,https://www.youtube.com/watch?v=zPWA5SX2uPc
10,6,Bang Bang Bang (lil yappa/minus b remix) (feat. BBpanzu),Lil Yappa,3,https://www.youtube.com/watch?v=OLKjWMvoY40
11,13,Brasil,M4IA,3,https://www.youtube.com/watch?v=yk7yVGbcpHE
12,14,Bairi,Virat Jayal & Pradeep Solanki & Heena,14,https://www.youtube.com/watch?v=yrjDEU9F1bw
13,10,Kicau Mania,Ndarboy Genk & Banditoz Yaow 86 & BoyCord,7,https://www.youtube.com/watch?v=EngPsM8VnzM
14,19,Golden Brown,The Stranglers,6,https://www.youtube.com/watch?v=Kp-kFTSFyR0
15,9,Bangles,Sanju Rathod & G-SPXRK,5,https://www.youtube.com/watch?v=QHdajZktFEU
16,12,Six Seven,Laurinha Costa & Dj Cabello & Dj Tchouzen & SoundMusic Original,8,https://www.youtube.com/watch?v=Md7kqHsWWs4
17,30,तू हसल करऽ जान,Awanish Babu,2,https://www.youtube.com/watch?v=5rFjElDfc_0
18,n/a,Udi Udi,Aneesh & SARKAR & Hruday,1,https://www.youtube.com/watch?v=rC-kbRanJQ0
19,18,Tere Bina,A. R. Rahman & Chinmayi & Murtuza Khan & Qadir Khan,13,https://www.youtube.com/watch?v=9JDSGhhiOwI
20,15, MONTAGEM PEGADORA (Slowed),Rubikdice & Chilx & WAA,7,https://www.youtube.com/watch?v=6mWJ4FfNAYI
21,n/a,blue,yung kai,20,https://www.youtube.com/watch?v=IpFX2vq8HKw
