Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,25,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,2,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,6,https://www.youtube.com/watch?v=EmmYDU3Rjpg
3,6,Jutti Meri (Live),Neha Bhasin,3,https://www.youtube.com/watch?v=XV--2ysknlk
4,5,Friendships (feat. Leony),Pascal Letoublon,42,https://www.youtube.com/watch?v=1g3Toj4-RMg
5,4,Mafia,D Hell & Nickox & Young Jeric,9,https://www.youtube.com/watch?v=6cCVuQJUxCI
6,3,Saiyaara,Tanishk Bagchi & Faheem Abdullah & Irshad Kamil,8,https://www.youtube.com/watch?v=BSJa1UytM8w
7,12,MENTE MÁ,Nakama & Mc Staff,7,https://www.youtube.com/watch?v=cXDOHqa_QgY
8,15,Confess your love (feat. ola.wav),Jiandro,3,https://www.youtube.com/watch?v=LfHm50UJW6U
9,11,NO ERA AMOR - Super Slowed,DJ Asul,4,https://www.youtube.com/watch?v=V7WnvoFbcHI
10,10,Milab Chori Chori Ae Gori,Pankaj Matalbi Yadav,2,https://www.youtube.com/watch?v=aK3iD0PT92w
11,8,MALVADO DE VAPO,xccvdxz & Y3LLAVISION,3,https://www.youtube.com/watch?v=EMs97-9ATcE
12,13,Sahiba,Aditya Rikhari,9,https://www.youtube.com/watch?v=n2dVFdqMYGA
13,18,Naam Chale,Vikram Sarkar,4,https://www.youtube.com/watch?v=tYKrORILFOg
14,14,ACELERADA,sma$her & MXZI,5,https://www.youtube.com/watch?v=YQkeI3BQdP0
15,19,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,4,https://www.youtube.com/watch?v=pUklUX8ITeo
16,20,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,8,https://www.youtube.com/watch?v=yebNIHKAC4A
17,9,Jab Se Chadhal Ba Jawani,Manoj Tiwari,5,https://www.youtube.com/watch?v=v3m3mphkLk0
18,17,SODA POP,Saja Boys,9,https://www.youtube.com/watch?v=eny0BqmSwmM
19,24,TABOLA BALE,SILET OPEN UP & Jacson Seran & Juan Reza & Diva Aurel,4,https://www.youtube.com/watch?v=F0d8JJUNkqo
20,25,Камин,EMIN & JONY,11,https://www.youtube.com/watch?v=6SEr1XcZG4M
21,n/a,GIRL LIKE ME,The Black Eyed Peas & Shakira,2,https://www.youtube.com/watch?v=vMLk_T0PPbk
22,n/a,MOURYA RE,Shankar Mahadevan & Shankar Ehsaan Loy & Javed Akhtar,2,https://www.youtube.com/watch?v=8jff2wz3Hpk
23,21,Rock That Body,The Black Eyed Peas,14,https://www.youtube.com/watch?v=nmnjL26OBcY
24,34,BUBA REGGAETON,SXLLX & DJ BLVDE & DJ VIBER,4,https://www.youtube.com/watch?v=YYo5gk6fC9w
25,n/a,Saath Saath Chalab Har Kadam,Priyanka Singh,1,https://www.youtube.com/watch?v=wYErI0aFvOc
26,35,AZUL,Guru Randhawa & Gurjit Gill & Lavish Dhiman,4,https://www.youtube.com/watch?v=vB0V3iCSzQw
27,23,छितराजाबा तू,Sanjay Yaduvanshi,4,https://www.youtube.com/watch?v=UpXc7v-BBVs
28,37,The Days,CHRYSTAL,3,https://www.youtube.com/watch?v=o8RcHrz2-uU
29,7,Gajanan Sukh Karta Dukh Harta,Divya Kumar & Ravi Singhal & Rashmeet Kaur,3,https://www.youtube.com/watch?v=wU6mQLBAiBs
30,33,Dil Ka Jo Haal Hai,Abhijeet Bhattacharya & Shreya Ghoshal & Lalit Pandit & RAJEEV BARNWAL,7,https://www.youtube.com/watch?v=udgrClXV26Y
31,39,blue,yung kai,9,https://www.youtube.com/watch?v=IpFX2vq8HKw
32,36,Scopin,Kordhell,10,https://www.youtube.com/watch?v=VXaq77GiyEo
33,26,Dame Un Grrr,Fantomel & Kate Linn,12,https://www.youtube.com/watch?v=wHlAnhkLUvw
34,n/a,Nyan Cat Theme,Digidudes,1,https://www.youtube.com/watch?v=E40DGYa2QQ8
35,n/a,AL NACER!,Sayfalse & Nulteex,1,https://www.youtube.com/watch?v=OeU5xYsMB88
36,46,Raat Ke Shikari,Masoom Sharma,7,https://www.youtube.com/watch?v=xMSuYh4ElPs
37,40,fragment (slowed),slxughter,5,https://www.youtube.com/watch?v=rngLO3tF2mA
38,43,Padhne Ne Aai,Kehar Kharkiya & Shiqaari & Basant Mundi,2,https://www.youtube.com/watch?v=RBzg9jzoUcs
39,45,आज कहना जरूरी है,Alka Yagnik & Udit Narayan,3,https://www.youtube.com/watch?v=rgqeiEqU77s
40,42,DON`T STOP,GLXXMSTRIDER,9,https://www.youtube.com/watch?v=9ZeUei8IUxA
41,32,Kahin Aag Lage Lag Jaave,Asha Bhosle & Aditya Narayan & Richa Sharma,2,https://www.youtube.com/watch?v=tiyoiDoH8jw
42,30,DIA DELÍCIA,Nakama & ΣP,14,https://www.youtube.com/watch?v=2cnloO84LA0
43,31,Esta Noche,sma$her,3,https://www.youtube.com/watch?v=YiYwovZ9IT8
44,n/a,Montagem Supersonic,KHAOS & Jmilton & Mc Jajá,1,https://www.youtube.com/watch?v=lM4v4sq8ypo
45,48,FUNK SIGILO,h6itam,7,https://www.youtube.com/watch?v=vEnSsrB2K9g
46,47,Ransom,Lil Tecca,2,https://www.youtube.com/watch?v=1XzY2ij_vL4
47,n/a,Kamariya Round Karega,Neelkamal Singh & Priyanka Singh,1,https://www.youtube.com/watch?v=6F_sXop7bnU
48,n/a,Konco Mesra,jvstcndraazn,1,https://www.youtube.com/watch?v=kFhHJEcTAf4
49,n/a,love for you,LOVELI LORI & ovg!,1,https://www.youtube.com/watch?v=MQlyMtaICxI
50,n/a,शूटर,Tuntun Yadav & Goldy Yadav,1,https://www.youtube.com/watch?v=h90qyrI5Hg4
