Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,2,NO BATIDÃO,slxughter,13,https://www.youtube.com/watch?v=GXioir-fujY
2,3,PASSO BEM SOLTO (Slowed),ATLXS,45,https://www.youtube.com/watch?v=NT4eF9YsYnM
3,n/a,Sandese Aate Hai,Sonu Nigam & Roop Kumar Rathod,5,https://www.youtube.com/watch?v=yccGxvIydKg
4,4,Friendships (feat. Leony),Pascal Letoublon,62,https://www.youtube.com/watch?v=1g3Toj4-RMg
5,5,Montagem Miau (Ultra Slowed),Lenar,12,n/a
6,21,Ghar Kab Aaoge,Anu Malik & Mithoon & Sonu Nigam & Arijit Singh & Roop Kumar Rathod & Vishal Mishra & Diljit Dosanjh & Javed Akhtar & Manoj Muntashir,3,https://www.youtube.com/watch?v=oodOj8jx8ds
7,1,Dil Ne Tera Naam Liya,Ai Covers By Rizzu,3,https://www.youtube.com/watch?v=o7AJqK5Zo_c
8,10,Gozalo (Remix),Ariis,5,https://www.youtube.com/watch?v=GkqzojRVtGo
9,8,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,26,https://www.youtube.com/watch?v=EmmYDU3Rjpg
10,n/a,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,1,https://www.youtube.com/watch?v=bEYiPCbHAtM
11,9,VOCE NA MIRA (Slowed),S3kral,5,https://www.youtube.com/watch?v=B091oc37QeY
12,6,Big Guy,Ice Spice,8,https://www.youtube.com/watch?v=7yaU0qXlgbo
13,16,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,3,https://www.youtube.com/watch?v=J7Xzgcu6vVk
14,11,Status,Khasa Aala Chahar & Anny Kathwar,4,https://www.youtube.com/watch?v=A7Dk-ixHKjY
15,7,فصلة,Flipperachi,8,https://www.youtube.com/watch?v=1XOJFuKHCck
16,n/a,Mera Rang De Basanti Chola,Udit Narayan & Bhai Bhupinder Singh Ji,6,https://www.youtube.com/watch?v=dJyFI49dsnQ
17,23,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,7,https://www.youtube.com/watch?v=eIQqtWOA12c
18,17,Lush Life,Zara Larsson,6,https://www.youtube.com/watch?v=tD4HCZe-tew
19,n/a,Desh Mere,Arijit Singh,6,https://www.youtube.com/watch?v=I0-IiiVgvyU
20,n/a,Sheesha (Aakhya Mai Aakh Ghali Jo Bairan),Mitta Ror & Swara Verma,1,https://www.youtube.com/watch?v=aRNfSqsgrgE
21,n/a,रोटिया बेलही के परी,Srishti Bharti,1,https://www.youtube.com/watch?v=bOyXIIuUaDI
22,12,CHANEL,Tyla,11,https://www.youtube.com/watch?v=xiZUf98A1Ts
23,n/a,Raanjhan,Parampara Thakur,4,https://www.youtube.com/watch?v=lBvbNxiVmZA
24,14,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,11,https://www.youtube.com/watch?v=sTHhz9LXdjw
25,n/a,Teri Mitti,B Praak,6,https://www.youtube.com/watch?v=wF_B_aagLfI
26,19,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,14,https://www.youtube.com/watch?v=Cpc1akSzjPY
27,15,EEEE A,dia,5,https://www.youtube.com/watch?v=Wvl-UASEEQY
28,n/a,Jalwa Jalwa,Sukhwinder Singh & Udit Narayan & Jaspinder Narula,2,https://www.youtube.com/watch?v=yRmnGwqyEJY
29,n/a,Jaate Hue Lamhon,Roop Kumar Rathod & Vishal Mishra,1,https://www.youtube.com/watch?v=hR8JECXccdY
30,24,Shararat,Shashwat Sachdev & Madhubanti Bagchi & Jasmine Sandlas,6,https://www.youtube.com/watch?v=YyepU5ztLf4
31,n/a,Maa Tujhe Salaam,A. R. Rahman,3,https://www.youtube.com/watch?v=jDn2bn7_YSM
32,n/a,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,1,https://www.youtube.com/watch?v=qVuwUR5_FsE
33,n/a,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,1,https://www.youtube.com/watch?v=72zXataH1H8
34,13,Ishq Jalakar - Karvaan ,Shashwat Sachdev & Shahzad Ali & Subhadeep Das Chowdhury & Armaan Khan & Irshad Kamil & Roshan & Sahir Ludhianvi,7,https://www.youtube.com/watch?v=8qCVXCFREkQ
35,n/a,Mitti Ke Bete(Live),Mithoon & Sonu Nigam & Manoj Muntashir,1,https://www.youtube.com/watch?v=YQqJCk_BjNU
36,45,JETSKI,Pedro Sampaio & MC MENO K & Melody,2,https://www.youtube.com/watch?v=7CF5qbw8zec
37,20,NOT CUTE ANYMORE,ILLIT,6,https://www.youtube.com/watch?v=x_RYZsOfpKY
38,n/a,Cheerleader (Felix Jaehn Remix),OMI,1,https://www.youtube.com/watch?v=jGflUbPQfW8
39,n/a,Lutt Le Gaya,Shashwat Sachdev & Simran Choudhary,1,https://www.youtube.com/watch?v=VWCBZpvjZfc
40,n/a,Aisa Des Hai Mera,Gurdas Maan & Lata Mangeshkar & Preetha Mazumdar & Udit Narayan,2,https://www.youtube.com/watch?v=wDheWYmNEhQ
41,29,Epic Inspiration,AShamaluevMusic,12,https://www.youtube.com/watch?v=CvLHKUtcFg4
42,28,AL NACER!,Sayfalse & Nulteex,15,https://www.youtube.com/watch?v=kPf9i6Wef7M
43,n/a,Dil Lagana Mana Tha,Krish Mondal & Kishore Mondal,1,https://www.youtube.com/watch?v=55BS8QO5C9o
44,26,BI,KISLOTV,7,https://www.youtube.com/watch?v=fQAovWwAtws
45,n/a,Go Down Deh (feat. Shaggy & Sean Paul),Spice,3,https://www.youtube.com/watch?v=lZizLbWxr_E
46,n/a,Des Rangila,Mahalakshmi,6,https://www.youtube.com/watch?v=drlfr5Rtb1o
47,25,तेरी दुल्हन सजाऊंगी,Alka Yagnik & Kailash Kher,4,https://www.youtube.com/watch?v=jfpQaR5E5Mc
48,33,Let Me Love You (feat. Justin Bieber),DJ Snake,2,https://www.youtube.com/watch?v=euCqAq6BRa4
49,39,Memory Reboot,VØJ & Narvent,24,https://www.youtube.com/watch?v=wL8DVHuWI7Y
50,n/a,Maa Tujhhe Salaam,Shankar Mahadevan,4,https://www.youtube.com/watch?v=yOHnlNuZhgI
