Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,30,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,9,Payal Ki Khanak,Anil Rawat & Kajal Hathrasi & Mohit Love,4,https://www.youtube.com/watch?v=lKxH2xdwdgQ
3,2,Friendships (feat. Leony),Pascal Letoublon,47,https://www.youtube.com/watch?v=1g3Toj4-RMg
4,3,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,11,https://www.youtube.com/watch?v=EmmYDU3Rjpg
5,6,MENTE MÁ,Nakama & Mc Staff,12,https://www.youtube.com/watch?v=cXDOHqa_QgY
6,4,Kashish,Ashish Bhatia & Omkar Singh & Kashish Ratnani,3,https://www.youtube.com/watch?v=nwXAkF8OFCc
7,5,Jutti Meri (Live),Neha Bhasin,8,https://www.youtube.com/watch?v=XV--2ysknlk
8,11,Sugar On My Tongue,Tyler The Creator,3,https://www.youtube.com/watch?v=ljHdccyQbT4
9,10,YOSHO HAI MONTAGEM,Torbahed,4,https://www.youtube.com/watch?v=Wo__M-KVcYQ
10,8,Ocean Eyes,Billie Eilish,5,https://www.youtube.com/watch?v=viimfQi_pUw
11,7,NO ERA AMOR - Super Slowed,DJ Asul,9,https://www.youtube.com/watch?v=V7WnvoFbcHI
12,25,तितली शहर के,Neelkamal Singh & Priyanka Singh,2,https://www.youtube.com/watch?v=_AbCI05f_WM
13,31,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,3,https://www.youtube.com/watch?v=Hd5nXTyaXZg
14,12,Confess your love (feat. ola.wav),Jiandro,8,https://www.youtube.com/watch?v=LfHm50UJW6U
15,14,TABOLA BALE,SILET OPEN UP & Jacson Seran & Juan Reza & Diva Aurel,9,https://www.youtube.com/watch?v=F0d8JJUNkqo
16,13,Sahiba,Aditya Rikhari,14,https://www.youtube.com/watch?v=n2dVFdqMYGA
17,16,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,13,https://www.youtube.com/watch?v=yebNIHKAC4A
18,n/a,Ghar Aaja Pardesi,Pamela Chopra & Manpreet Kaur,4,https://www.youtube.com/watch?v=aYydJ7JTmsg
19,19,AL NACER!,Sayfalse & Nulteex,6,https://www.youtube.com/watch?v=OeU5xYsMB88
20,18,Naam Chale,Vikram Sarkar,9,https://www.youtube.com/watch?v=tYKrORILFOg
21,15,Mafia,D Hell & Nickox & Young Jeric,14,https://www.youtube.com/watch?v=6cCVuQJUxCI
