Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,28,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,3,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,9,https://www.youtube.com/watch?v=EmmYDU3Rjpg
3,4,Friendships (feat. Leony),Pascal Letoublon,45,https://www.youtube.com/watch?v=1g3Toj4-RMg
4,2,Jutti Meri (Live),Neha Bhasin,6,https://www.youtube.com/watch?v=XV--2ysknlk
5,6,MENTE MÁ,Nakama & Mc Staff,10,https://www.youtube.com/watch?v=cXDOHqa_QgY
6,5,Ocean Eyes,Billie Eilish,3,https://www.youtube.com/watch?v=viimfQi_pUw
7,8,Payal Ki Khanak,Anil Rawat & Kajal Hathrasi & Mohit Love,2,https://www.youtube.com/watch?v=lKxH2xdwdgQ
8,7,NO ERA AMOR - Super Slowed,DJ Asul,7,https://www.youtube.com/watch?v=V7WnvoFbcHI
9,n/a,Kashish,Ashish Bhatia & Omkar Singh & Kashish Ratnani,1,https://www.youtube.com/watch?v=nwXAkF8OFCc
10,15,Milab Chori Chori Ae Gori,Pankaj Matalbi Yadav,5,https://www.youtube.com/watch?v=aK3iD0PT92w
11,13,Confess your love (feat. ola.wav),Jiandro,6,https://www.youtube.com/watch?v=LfHm50UJW6U
12,9,Mafia,D Hell & Nickox & Young Jeric,12,https://www.youtube.com/watch?v=6cCVuQJUxCI
13,12,TABOLA BALE,SILET OPEN UP & Jacson Seran & Juan Reza & Diva Aurel,7,https://www.youtube.com/watch?v=F0d8JJUNkqo
14,11,Sahiba,Aditya Rikhari,12,https://www.youtube.com/watch?v=n2dVFdqMYGA
15,14,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,11,https://www.youtube.com/watch?v=yebNIHKAC4A
16,17,Naam Chale,Vikram Sarkar,7,https://www.youtube.com/watch?v=tYKrORILFOg
17,20,AL NACER!,Sayfalse & Nulteex,4,https://www.youtube.com/watch?v=OeU5xYsMB88
18,10,Saiyaara,Tanishk Bagchi & Faheem Abdullah & Irshad Kamil,11,https://www.youtube.com/watch?v=BSJa1UytM8w
19,n/a,Lawak (feat. Mia G),Ahli Fiqir,1,https://www.youtube.com/watch?v=xK3abe-L-fI
20,45,NEWJEANS (Sped Up),Turtlecommercial,2,https://www.youtube.com/watch?v=Dqpmr-YKE80
21,18,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,7,https://www.youtube.com/watch?v=pUklUX8ITeo
22,n/a,forget卡点舞,DJ易拉罐,1,https://www.youtube.com/watch?v=CSnF5xMwXwU
23,16,MALVADO DE VAPO,xccvdxz & Y3LLAVISION,6,https://www.youtube.com/watch?v=EMs97-9ATcE
24,36,CLIMA LINDO (SLOWED),GXMZ & Repsaj,7,https://www.youtube.com/watch?v=P12jBX75B48
25,19,Камин,EMIN & JONY,14,https://www.youtube.com/watch?v=6SEr1XcZG4M
26,31,VAI VAI TRAIR,DJ Asul,3,https://www.youtube.com/watch?v=2VV_ox3XXzg
27,37,YOSHO HAI MONTAGEM,Torbahed,2,https://www.youtube.com/watch?v=Wo__M-KVcYQ
28,n/a,NGAPAIN REPOT (feat. Wizz Baker & Fresly Nikijuluw),Toton Caribo,1,https://www.youtube.com/watch?v=Q_1ugMaYGkE
29,24,Meri Maa Ke Barabar Koi Nahi,Jubin Nautiyal,6,https://www.youtube.com/watch?v=zkO8HfmRsD0
30,21,ACELERADA,sma$her & MXZI,8,https://www.youtube.com/watch?v=YQkeI3BQdP0
31,23,Kiliye Kiliye (Afrobeat Mix),S. Janaki & Ilaiyaraaja & Poovachal Khader & The Independeners,3,https://www.youtube.com/watch?v=mrCuy01ID_k
32,30,blue,yung kai,12,https://www.youtube.com/watch?v=IpFX2vq8HKw
33,22,आटा साने गइलू त गिल कई दिहलू,Pawan Singh & Indu Sonali,2,https://www.youtube.com/watch?v=G6qytwn0cn8
34,29,Raat Ke Shikari,Masoom Sharma,10,https://www.youtube.com/watch?v=xMSuYh4ElPs
35,32,fragment (slowed),slxughter,8,https://www.youtube.com/watch?v=rngLO3tF2mA
36,26,Eu Tô Fazendo uma Mágica,GORDINHO BOLADO & Felipe Original,4,https://www.youtube.com/watch?v=8tsv3Y24P9w
37,n/a,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,1,https://www.youtube.com/watch?v=Hd5nXTyaXZg
38,25,SODA POP,Saja Boys,12,https://www.youtube.com/watch?v=eny0BqmSwmM
39,35,Adahul Ke Phool,Pawan Singh & Shivani Singh,2,https://www.youtube.com/watch?v=VVfG5WTB4hk
40,n/a,Sugar On My Tongue,Tyler The Creator,1,https://www.youtube.com/watch?v=ljHdccyQbT4
41,33,Dil Ka Jo Haal Hai,Abhijeet Bhattacharya & Shreya Ghoshal & Lalit Pandit & RAJEEV BARNWAL,10,https://www.youtube.com/watch?v=udgrClXV26Y
42,27,Meri Mai,Jubin Nautiyal,2,https://www.youtube.com/watch?v=YkyYy8oRz_Y
43,44,Montagem Supersonic,KHAOS & Jmilton & Mc Jajá,4,https://www.youtube.com/watch?v=lM4v4sq8ypo
44,40,DON`T STOP,GLXXMSTRIDER,12,https://www.youtube.com/watch?v=9ZeUei8IUxA
45,39,linga guli guli,Zachz Winner,3,https://www.youtube.com/watch?v=8lifVcl1jgg
46,n/a,आंख से आंसू आ जायेगा इस गाने को सुनने पर,Pawan Singh & Sunil Chhaila Bihari,2,https://www.youtube.com/watch?v=cphHU8UfwNE
47,38,SIREN HEAD FUNK,DJ VTTT77 & Mc Delux & DJ VYZ,3,https://www.youtube.com/watch?v=kVLXczVES3Q
48,n/a,दिलवा बेचारा,Mohan Rathore,1,https://www.youtube.com/watch?v=pRaof5tk3Ms
49,28,Shiny,Easykid & Dysbit,2,https://www.youtube.com/watch?v=SmFsXCEiGQA
50,n/a,Doot Doot (6 7),Skrilla,1,https://www.youtube.com/watch?v=XnygT6ANLzQ
