Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,35,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,4,Montagem Miau (Ultra Slowed),Lenar,3,n/a
3,7,NO BATIDÃO,slxughter,3,https://www.youtube.com/watch?v=GXioir-fujY
4,3,Friendships (feat. Leony),Pascal Letoublon,52,https://www.youtube.com/watch?v=1g3Toj4-RMg
5,2,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,16,https://www.youtube.com/watch?v=EmmYDU3Rjpg
6,6,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,8,https://www.youtube.com/watch?v=Hd5nXTyaXZg
7,5,DON`T STOP,GLXXMSTRIDER,19,https://www.youtube.com/watch?v=9ZeUei8IUxA
8,9,fragment (slowed),slxughter,15,https://www.youtube.com/watch?v=rngLO3tF2mA
9,10,Coca Cola 2 (feat. Neha Kakkar),Tony Kakkar & JUNIOR,4,https://www.youtube.com/watch?v=mp5nanjOul8
10,12,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,4,https://www.youtube.com/watch?v=Cpc1akSzjPY
11,13,I’m Done.,Maan Panu,2,https://www.youtube.com/watch?v=t5OKlU0icRs
12,16,AGUS FUNK (ULTRA SLOWED),ghozx & DJ VIBER & XENO XID,6,https://www.youtube.com/watch?v=0H2-Lz3mykM
13,14,Orang Baru Lebe Gacor,Ecko Show & Juan Reza & Chesylino,2,https://www.youtube.com/watch?v=0VOhIR3bnXY
14,n/a,Chikiri Chikiri,Mohit Chauhan,1,https://www.youtube.com/watch?v=vVDp1ulBKIk
15,15,Naam Chale,Vikram Sarkar,14,https://www.youtube.com/watch?v=tYKrORILFOg
16,n/a,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,1,https://www.youtube.com/watch?v=sTHhz9LXdjw
17,20,blue,yung kai,19,https://www.youtube.com/watch?v=IpFX2vq8HKw
18,29,Shiny,Easykid & Dysbit,5,https://www.youtube.com/watch?v=SmFsXCEiGQA
19,17,साल ओढ़ के मिले आवा,Pramod Premi Yadav,2,https://www.youtube.com/watch?v=R7uov1899eg
20,18,Ocean Eyes,Billie Eilish,10,https://www.youtube.com/watch?v=viimfQi_pUw
21,8,Johnny Johnny,Jigar Saraiya & Priya Saraiya & Madhav Krishnan,4,https://www.youtube.com/watch?v=4-Joa2I7fVg
22,22,CLIMA LINDO (SLOWED),GXMZ & Repsaj,14,https://www.youtube.com/watch?v=P12jBX75B48
23,28,Breathless,Siddharth Mahadevan & Souumil Shringarpure & Shankar Mahadevan & Abhay Jodhpurkar & Shivam Mahadevan & Yashita Sharma & Pragati Nagpal & Nikon Mukherjee & Aasa Singh & Javed Akhtar,7,https://www.youtube.com/watch?v=ZtJlhxx_LAc
24,37,BOA NOITE POVO (Remix),THEUZZIN & Mn de Niteroi & DJ MK De Niterói & 2L Motta,2,https://www.youtube.com/watch?v=S-zHpvxK_hs
25,21,TABOLA BALE,SILET OPEN UP & Jacson Seran & Juan Reza & Diva Aurel,14,https://www.youtube.com/watch?v=F0d8JJUNkqo
26,24,Deewaniyat,Vishal Mishra,4,https://www.youtube.com/watch?v=Qo4IOTAbGAM
