Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,62,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,3,Copines,Aya Nakamura,6,https://www.youtube.com/watch?v=EkGiGf8utCM
3,5,Sou Favela,Mc Bruninho & Vitinho Ferrari,3,https://www.youtube.com/watch?v=PvJIwSPte4E
4,2,NO BATIDÃO,slxughter,30,https://www.youtube.com/watch?v=GXioir-fujY
5,6,Headlights (feat. KIDDO),Alok & Alan Walker,10,https://www.youtube.com/watch?v=zDy8K0o_ksA
6,33,Bang Bang Bang (lil yappa/minus b remix) (feat. BBpanzu),Lil Yappa,2,https://www.youtube.com/watch?v=OLKjWMvoY40
7,4,Bairan,Banjaare,10,https://www.youtube.com/watch?v=oafxkMv4xnc
8,12,Shaam Bhi Khoob Hai,Kumar Sanu & Udit Narayan & Alka Yagnik,17,https://www.youtube.com/watch?v=0BGoLgcz8zI
9,7,Bangles,Sanju Rathod & G-SPXRK,4,https://www.youtube.com/watch?v=QHdajZktFEU
10,8,Kicau Mania,Ndarboy Genk & Banditoz Yaow 86 & BoyCord,6,https://www.youtube.com/watch?v=EngPsM8VnzM
11,n/a,Raga of Revenge,Anirudh,1,https://www.youtube.com/watch?v=NAkQVL61BRI
12,9,Six Seven,Laurinha Costa & Dj Cabello & Dj Tchouzen & SoundMusic Original,7,https://www.youtube.com/watch?v=Md7kqHsWWs4
13,14,Brasil,M4IA,2,https://www.youtube.com/watch?v=yk7yVGbcpHE
14,10,Bairi,Virat Jayal & Pradeep Solanki & Heena,13,https://www.youtube.com/watch?v=yrjDEU9F1bw
15,11, MONTAGEM PEGADORA (Slowed),Rubikdice & Chilx & WAA,6,https://www.youtube.com/watch?v=6mWJ4FfNAYI
16,13,Laika Kisan Ke,Pramod Premi Yadav,6,https://www.youtube.com/watch?v=dRDacDdWaPY
17,16,TRILLIUM HARDTEKK,S3RL & Bearn,12,https://www.youtube.com/watch?v=OgiAdfUKJ3c
18,24,Tere Bina,A. R. Rahman & Chinmayi & Murtuza Khan & Qadir Khan,12,https://www.youtube.com/watch?v=9JDSGhhiOwI
19,29,Golden Brown,The Stranglers,5,https://www.youtube.com/watch?v=Kp-kFTSFyR0
20,n/a,WOW ,Tanishk Bagchi & Hardy Sandhu & Kiran Bajwa & Gill Machhrai,1,https://www.youtube.com/watch?v=SzTmJklgIM8
21,n/a,ECLIPSER,PINKY SMASH,3,https://www.youtube.com/watch?v=8sTYsQ9mNAM
22,15,Majboor,Sheheryar Rehan & Zoha Waseem,5,https://www.youtube.com/watch?v=zaFGQEIcetM
23,34,MANDA BALA,Ariis,4,https://www.youtube.com/watch?v=zd14sI-09aY
24,19,캐치 캐치,YENA,7,https://www.youtube.com/watch?v=ItSKahBISg0
25,18,PAGLE BANA DELU,Pramod Premi & Vicky Vox & Ravi Yadav,4,https://www.youtube.com/watch?v=9hYyZu2KcxQ
26,37,LAST CHANCE FUNK (Alt Version Ultra Slowed),TEENWXVE,6,https://www.youtube.com/watch?v=9lBD7QQmoYE
27,n/a,FUNK ABNORMAL (SLOWED),DJ V12 & SXID,2,https://www.youtube.com/watch?v=dWXMw_jOtSI
28,31,Nervy Funk,DJ KVNXD & Dj Zidzz & BRTS7 & DJ ALGUS ZL,3,https://www.youtube.com/watch?v=HseNhhfcky8
29,25,Gehra Hua,Shashwat Sachdev & Arijit Singh & Irshad Kamil & Armaan Khan,11,https://www.youtube.com/watch?v=GX9x62kFsVU
30,n/a,तू हसल करऽ जान,Awanish Babu,1,https://www.youtube.com/watch?v=5rFjElDfc_0
31,30,Cute Baby Song,RudraOM & Aniket Singh,2,https://www.youtube.com/watch?v=rfYWQrt47Vw
32,26,Babydoll,Dominic Fike,12,https://www.youtube.com/watch?v=KqMOKCRgvD8
33,48,Pistaul,Ritik Singh & Srishti Bharti,2,https://www.youtube.com/watch?v=0IN4Zj_XLA8
34,50,Sua amiga eu vou pegar,MC Lan & MC WM,2,https://www.youtube.com/watch?v=sErngyjY5fI
35,32,Meow Meow (Slowed),heapper & ahh,4,https://www.youtube.com/watch?v=8WYa13TQND4
36,41,MONTAGEM ALQUIMIA,h6itam & n7san7os & Mc Menor Do Alvorada,9,https://www.youtube.com/watch?v=CQZ-XIgyEUg
37,39,Jax Toy (Reprise) (feat. Michael Kovach),Jakeneutron,5,https://www.youtube.com/watch?v=GcmJAqxWKeA
38,47,Atlantis,Seafret,7,https://www.youtube.com/watch?v=gVAy3IZiL0s
39,n/a,Victory Anthem,Khushi TDT,20,https://www.youtube.com/watch?v=clNXfAcaDrM
40,40,Jaiye Sajana,Shashwat Sachdev & Satinder Sartaaj & Jasmine Sandlas,9,https://www.youtube.com/watch?v=F2m4HPLvj-4
41,49,MONTAGEM PERIGOSA,KVRXD & SEKIMANE & Dj Samir,4,https://www.youtube.com/watch?v=5NQ-gTgJFjw
42,n/a,Main Yahaan Hoon,Udit Narayan,1,https://www.youtube.com/watch?v=m6Y8xEfyXTs
43,36,Pipelinefunk Concert (Live),Armin Küpper,6,https://www.youtube.com/watch?v=p8GcHoSIPDg
44,28,KAMALI (Slowed),Akhmedov,8,https://www.youtube.com/watch?v=4W9I6-PTXIQ
45,n/a,आवा राजा पटना,Dharmveer Singh & Khushi Kakkar,1,https://www.youtube.com/watch?v=_9MgI6Ksm0o
46,35,Panna Ki Tamanna Hai,Deepshikha Raina,5,https://www.youtube.com/watch?v=ZzH7pNbDM3g
47,n/a,Deewana Deewana Main Tera,Kumar Sanu & Sadhana Sargam & Anu Malik,1,https://www.youtube.com/watch?v=wj5CAqdvteE
48,45,Thee Thalapathy,Silambarasan,2,https://www.youtube.com/watch?v=eqBrHvdGbOY
49,n/a,Talbiyah (التلبية),In Team,1,https://www.youtube.com/watch?v=AXVZy25pimw
50,38,SHKINI,Guru Randhawa & Kiran Bajwa & Gill Machhrai & Rony Ajnali,2,https://www.youtube.com/watch?v=4RSxIX2I6Ic
