Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,NO BATIDÃO,slxughter,23,https://www.youtube.com/watch?v=GXioir-fujY
2,2,PASSO BEM SOLTO (Slowed),ATLXS,55,https://www.youtube.com/watch?v=NT4eF9YsYnM
3,5,Bairi,Virat Jayal & Pradeep Solanki & Heena,6,https://www.youtube.com/watch?v=yrjDEU9F1bw
4,3,Lutt Le Gaya,Shashwat Sachdev & Simran Choudhary,10,https://www.youtube.com/watch?v=VWCBZpvjZfc
5,n/a,KAMALI (Slowed),Akhmedov,1,https://www.youtube.com/watch?v=4W9I6-PTXIQ
6,6,TRILLIUM HARDTEKK,S3RL & Bearn,5,https://www.youtube.com/watch?v=OgiAdfUKJ3c
7,15,Resenha Na Laje,Kew & DJGILCASTRO,8,https://www.youtube.com/watch?v=O7buVI-wk9I
8,4,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,10,https://www.youtube.com/watch?v=bEYiPCbHAtM
9,7,Bairan,Banjaare,3,https://www.youtube.com/watch?v=oafxkMv4xnc
10,8,Friendships (feat. Leony),Pascal Letoublon,72,https://www.youtube.com/watch?v=1g3Toj4-RMg
11,11,Jumpshot,Dawin,2,https://www.youtube.com/watch?v=yztX1jvtm_4
12,10,Tere Bina,A. R. Rahman & Chinmayi & Murtuza Khan & Qadir Khan,5,https://www.youtube.com/watch?v=9JDSGhhiOwI
13,14,Sheesha (Aakhya Mai Aakh Ghali Jo Bairan),Mitta Ror & Swara Verma,11,https://www.youtube.com/watch?v=aRNfSqsgrgE
14,13,MALU MALU,dia & INDAHKUS,6,https://www.youtube.com/watch?v=M0gHZvLTJyI
15,12,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,11,https://www.youtube.com/watch?v=72zXataH1H8
16,50,Jaiye Sajana,Shashwat Sachdev & Satinder Sartaaj & Jasmine Sandlas,2,https://www.youtube.com/watch?v=F2m4HPLvj-4
17,9,Dil Lagana Mana Tha,Krish Mondal & Kishore Mondal,11,https://www.youtube.com/watch?v=55BS8QO5C9o
18,22,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,11,https://www.youtube.com/watch?v=qVuwUR5_FsE
19,30,Babydoll,Dominic Fike,5,https://www.youtube.com/watch?v=KqMOKCRgvD8
20,19,VOCE NA MIRA,SLOWERB,15,https://www.youtube.com/watch?v=Wr3hSOcEvKw
21,16,Status,Khasa Aala Chahar & Anny Kathwar,14,https://www.youtube.com/watch?v=A7Dk-ixHKjY
22,17,Sea Lion,Yuno Miles,3,https://www.youtube.com/watch?v=Bc9xCCx8fJU
