Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,PASSO BEM SOLTO (Slowed),ATLXS,27,https://www.youtube.com/watch?v=NT4eF9YsYnM
2,2,Jutti Meri (Live),Neha Bhasin,5,https://www.youtube.com/watch?v=XV--2ysknlk
3,3,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,8,https://www.youtube.com/watch?v=EmmYDU3Rjpg
4,4,Friendships (feat. Leony),Pascal Letoublon,44,https://www.youtube.com/watch?v=1g3Toj4-RMg
5,13,Ocean Eyes,Billie Eilish,2,https://www.youtube.com/watch?v=viimfQi_pUw
6,5,MENTE MÁ,Nakama & Mc Staff,9,https://www.youtube.com/watch?v=cXDOHqa_QgY
7,6,NO ERA AMOR - Super Slowed,DJ Asul,6,https://www.youtube.com/watch?v=V7WnvoFbcHI
8,n/a,Payal Ki Khanak,Anil Rawat & Kajal Hathrasi & Mohit Love,1,https://www.youtube.com/watch?v=lKxH2xdwdgQ
9,7,Mafia,D Hell & Nickox & Young Jeric,11,https://www.youtube.com/watch?v=6cCVuQJUxCI
10,8,Saiyaara,Tanishk Bagchi & Faheem Abdullah & Irshad Kamil,10,https://www.youtube.com/watch?v=BSJa1UytM8w
11,11,Sahiba,Aditya Rikhari,11,https://www.youtube.com/watch?v=n2dVFdqMYGA
12,16,TABOLA BALE,SILET OPEN UP & Jacson Seran & Juan Reza & Diva Aurel,6,https://www.youtube.com/watch?v=F0d8JJUNkqo
13,10,Confess your love (feat. ola.wav),Jiandro,5,https://www.youtube.com/watch?v=LfHm50UJW6U
14,15,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,10,https://www.youtube.com/watch?v=yebNIHKAC4A
15,9,Milab Chori Chori Ae Gori,Pankaj Matalbi Yadav,4,https://www.youtube.com/watch?v=aK3iD0PT92w
16,14,MALVADO DE VAPO,xccvdxz & Y3LLAVISION,5,https://www.youtube.com/watch?v=EMs97-9ATcE
17,12,Naam Chale,Vikram Sarkar,6,https://www.youtube.com/watch?v=tYKrORILFOg
18,17,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,6,https://www.youtube.com/watch?v=pUklUX8ITeo
19,19,Камин,EMIN & JONY,13,https://www.youtube.com/watch?v=6SEr1XcZG4M
20,20,AL NACER!,Sayfalse & Nulteex,3,https://www.youtube.com/watch?v=OeU5xYsMB88
21,18,ACELERADA,sma$her & MXZI,7,https://www.youtube.com/watch?v=YQkeI3BQdP0
22,n/a,आटा साने गइलू त गिल कई दिहलू,Pawan Singh & Indu Sonali,1,https://www.youtube.com/watch?v=G6qytwn0cn8
23,21,Kiliye Kiliye (Afrobeat Mix),S. Janaki & Ilaiyaraaja & Poovachal Khader & The Independeners,2,https://www.youtube.com/watch?v=mrCuy01ID_k
24,n/a,Meri Maa Ke Barabar Koi Nahi,Jubin Nautiyal,5,https://www.youtube.com/watch?v=zkO8HfmRsD0
25,23,SODA POP,Saja Boys,11,https://www.youtube.com/watch?v=eny0BqmSwmM
26,29,Eu Tô Fazendo uma Mágica,GORDINHO BOLADO & Felipe Original,3,https://www.youtube.com/watch?v=8tsv3Y24P9w
27,n/a,Meri Mai,Jubin Nautiyal,1,https://www.youtube.com/watch?v=YkyYy8oRz_Y
28,n/a,Shiny,Easykid & Dysbit,1,https://www.youtube.com/watch?v=SmFsXCEiGQA
29,26,Raat Ke Shikari,Masoom Sharma,9,https://www.youtube.com/watch?v=xMSuYh4ElPs
30,31,blue,yung kai,11,https://www.youtube.com/watch?v=IpFX2vq8HKw
31,27,VAI VAI TRAIR,DJ Asul,2,https://www.youtube.com/watch?v=2VV_ox3XXzg
32,33,fragment (slowed),slxughter,7,https://www.youtube.com/watch?v=rngLO3tF2mA
33,25,Dil Ka Jo Haal Hai,Abhijeet Bhattacharya & Shreya Ghoshal & Lalit Pandit & RAJEEV BARNWAL,9,https://www.youtube.com/watch?v=udgrClXV26Y
34,22,Jab Se Chadhal Ba Jawani,Manoj Tiwari,7,https://www.youtube.com/watch?v=v3m3mphkLk0
35,n/a,Adahul Ke Phool,Pawan Singh & Shivani Singh,1,https://www.youtube.com/watch?v=VVfG5WTB4hk
36,n/a,CLIMA LINDO (SLOWED),GXMZ & Repsaj,6,https://www.youtube.com/watch?v=P12jBX75B48
37,n/a,YOSHO HAI MONTAGEM,Torbahed,1,https://www.youtube.com/watch?v=Wo__M-KVcYQ
38,35,SIREN HEAD FUNK,DJ VTTT77 & Mc Delux & DJ VYZ,2,https://www.youtube.com/watch?v=kVLXczVES3Q
39,36,linga guli guli,Zachz Winner,2,https://www.youtube.com/watch?v=8lifVcl1jgg
40,28,DON`T STOP,GLXXMSTRIDER,11,https://www.youtube.com/watch?v=9ZeUei8IUxA
41,n/a,Tu Pyaasa Hai,Neha Kakkar & Tony Kakkar,1,https://www.youtube.com/watch?v=g8Zd_8vAsmc
42,32,Rock That Body,The Black Eyed Peas,16,https://www.youtube.com/watch?v=nmnjL26OBcY
43,n/a,Dil Leke Udal Ago Papa Ke Padi,Bishu Deewana & Aslam Anmol,1,https://www.youtube.com/watch?v=NGThNcUiDFg
44,40,Montagem Supersonic,KHAOS & Jmilton & Mc Jajá,3,https://www.youtube.com/watch?v=lM4v4sq8ypo
45,n/a,NEWJEANS (Sped Up),Turtlecommercial,1,https://www.youtube.com/watch?v=Dqpmr-YKE80
46,39,छितराजाबा तू,Sanjay Yaduvanshi,6,https://www.youtube.com/watch?v=UpXc7v-BBVs
47,37,The Days,CHRYSTAL,5,https://www.youtube.com/watch?v=o8RcHrz2-uU
48,n/a,EMPIRE,Ogryzek,9,https://www.youtube.com/watch?v=L8H7J8VANQo
49,47,देवरा ढोढ़ी चटना बा,Chandan Chanchal,2,https://www.youtube.com/watch?v=TCll3TklRaw
50,48,FUNK SIGILO,h6itam,9,https://www.youtube.com/watch?v=vEnSsrB2K9g
