Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,n/a,Maa Tujhe Salaam,A. R. Rahman,4,https://www.youtube.com/watch?v=jDn2bn7_YSM
2,1,PASSO BEM SOLTO (Slowed),ATLXS,74,https://www.youtube.com/watch?v=NT4eF9YsYnM
3,39,Desh Mere,Arijit Singh,8,https://www.youtube.com/watch?v=I0-IiiVgvyU
4,n/a,Mera Rang De Basanti Chola,Udit Narayan & Bhai Bhupinder Singh Ji,1,https://www.youtube.com/watch?v=dJyFI49dsnQ
5,3,misery.,pupsies,6,https://www.youtube.com/watch?v=qJKcADiAuAw
6,2,Headlights (feat. KIDDO),Alok & Alan Walker,22,https://www.youtube.com/watch?v=zDy8K0o_ksA
7,n/a,Tiranga,B Praak,1,https://www.youtube.com/watch?v=l71aOtTJ1gE
8,43,He Tiranga La Madar Ho Jai,Chhotu Shikari,2,https://www.youtube.com/watch?v=alEV5fTP4hE
9,n/a, MONTAGEM PEGADORA (Slowed),Rubikdice & Chilx & WAA,17,https://www.youtube.com/watch?v=6mWJ4FfNAYI
10,n/a,Vande Mataram,Vishal Dadlani & Shekhar Ravjiani & Vaibhav Gupta & Subhadeep Das Chowdhury & Dipan Mitra & Utkarsh Wankhede & Piyush Panwar & Obom Tangu & Kumaar & Vishal-Shekhar,2,https://www.youtube.com/watch?v=zvLvXhXfdVM
11,4,Dai Dai,Shakira & Burna Boy,11,https://www.youtube.com/watch?v=fcnDmrtj6Sk
12,n/a,Sandese Aate Hai,Sonu Nigam & Roop Kumar Rathod,7,https://www.youtube.com/watch?v=yccGxvIydKg
13,n/a,Chai Ki Tapri,Soundverse,1,https://www.youtube.com/watch?v=cnzgi95gyqs
14,7,GUT GENUG (feat. Blumengarten & Shirin David),KITSCHKRIEG,10,https://www.youtube.com/watch?v=0GnA8VYOfko
15,10,MMG (My Mine Gueh),Naykilla,5,https://www.youtube.com/watch?v=K-7olbaOelg
16,8,Ishq de Fanniyar,Jyotica Tangri,5,https://www.youtube.com/watch?v=7OGSeZP0sc8
17,11,FREAKED OUT,Fat Papi & prodshushy,5,https://www.youtube.com/watch?v=Q6978DnF8C4
18,6,Haaland (Ha Ha Ha),CTID,5,https://www.youtube.com/watch?v=cixr-7fMWwU
19,45,FUNK MONOCLE (Ultra Slowed),Raiden & TRXSHBXY,2,https://www.youtube.com/watch?v=hD_iWnWyBCM
20,n/a,Des Rangila,Mahalakshmi,7,https://www.youtube.com/watch?v=drlfr5Rtb1o
21,13,Sua amiga eu vou pegar,MC Lan & MC WM,14,https://www.youtube.com/watch?v=sErngyjY5fI
22,19,Odnogo (legendaris ultrafunk remix),DJ BRATT,9,https://www.youtube.com/watch?v=LTTUkVKcuRg
23,n/a,Sunflower,Post Malone & Swae Lee,1,https://www.youtube.com/watch?v=ApXoWvfEYVU
24,25,Naihar Jaib Ae Raja,Ankush Raja & Shivani Singh & Garda Siyadih & Adr Anand,2,https://www.youtube.com/watch?v=pjNxhht7uT4
25,n/a,MONTAGEM DELÍRIO (Super Slowed),ZXVREN,1,https://www.youtube.com/watch?v=X-r4nYoeo1k
26,42,Midnight Feels Like Home,Jayven Solis & Aria Monroe,2,https://www.youtube.com/watch?v=opSqamrCbXU
27,21,Aduh Mama Tolong,Angelrita,2,https://www.youtube.com/watch?v=WPLP39baCPo
28,18,KALYANI (Remix),Shreya Ghoshal & KDS & FIFTY4 & ARJN,4,https://www.youtube.com/watch?v=xvT1jH8B9AM
