Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Big Guy,Ice Spice,6,https://www.youtube.com/watch?v=7yaU0qXlgbo
2,3,Lush Life,Zara Larsson,5,https://www.youtube.com/watch?v=tD4HCZe-tew
3,7,NO BATIDÃO,slxughter,10,https://www.youtube.com/watch?v=GXioir-fujY
4,5,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,13,https://www.youtube.com/watch?v=Cpc1akSzjPY
5,19,Internet Girl,KATSEYE,2,https://www.youtube.com/watch?v=5q9EjSUovc4
6,8,CHANEL,Tyla,9,https://www.youtube.com/watch?v=xiZUf98A1Ts
7,n/a,BI,KISLOTV,9,https://www.youtube.com/watch?v=fQAovWwAtws
8,9,Montagem Miau (Ultra Slowed),Lenar,10,n/a
9,6,NOT CUTE ANYMORE,ILLIT,5,https://www.youtube.com/watch?v=x_RYZsOfpKY
10,12,BOO,H3adband,3,https://www.youtube.com/watch?v=km5bgjATdCk
11,11,i walk this earth all by myself,EKKSTACY,4,https://www.youtube.com/watch?v=uto7z_YEuaM
12,4,End of Beginning,Djo,9,https://www.youtube.com/watch?v=oXSw8DGjf5E
13,2,Art of Guitar (feat. Marcin),RJ Pasin,5,https://www.youtube.com/watch?v=iHlfdyLMHOo
14,10,Don't Mind,Kent Jones,6,https://www.youtube.com/watch?v=n49qi-dU9IE
15,14,LET THE WORLD BURN,Chris Grey,10,https://www.youtube.com/watch?v=fdJrSjMgPFE
16,40,mirrors demo,overtonight,6,https://www.youtube.com/watch?v=jNU1dKASlI8
17,13,Riley,Juicy J & Lex Luger,9,https://www.youtube.com/watch?v=ZjgreqGLbqc
18,28,Savage,Megan Thee Stallion,2,https://www.youtube.com/watch?v=lkQ6uHr0TQE
19,n/a,Trillium (feat. Sara),S3RL,3,https://www.youtube.com/watch?v=qePEFXdHOoI
20,36,Took Her To The O (Audiomack Fine Tuned Version),King Von,2,https://www.youtube.com/watch?v=zEF4pn_4wcI
21,24,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,9,https://www.youtube.com/watch?v=sTHhz9LXdjw
22,15,What You Is,YoungBoy Never Broke Again & Mellow Rackz,13,https://www.youtube.com/watch?v=5p29VznFXhg
23,44,Gozalo (Remix),Ariis,2,https://www.youtube.com/watch?v=GkqzojRVtGo
24,n/a,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,1,https://www.youtube.com/watch?v=J7Xzgcu6vVk
25,n/a,I Thought I Saw Your Face Today,She & Him,1,https://www.youtube.com/watch?v=pyGU-UudvrM
26,17,Phantom,EsDeeKid & Rico Ace,4,https://www.youtube.com/watch?v=hmdzniMJOZs
27,20,SPAGHETTI (feat. j-hope),LE SSERAFIM,4,https://www.youtube.com/watch?v=TvVtYaqCni8
28,n/a,Painted You Pretty,Hudson Westbrook,1,https://www.youtube.com/watch?v=a43oO6Ys-UI
29,21,LUA NA PRAÇA,Dj Samir & DJ Zarek & Dj Duda & LUNxdiE,7,https://www.youtube.com/watch?v=iLfVnU23E34
30,38,Lost Woods Jersey Club,MirYouMadeIt,7,https://www.youtube.com/watch?v=IjNck9OJjGM
31,30,Epic Inspiration,AShamaluevMusic,12,https://www.youtube.com/watch?v=CvLHKUtcFg4
32,n/a,King For A Day (feat. Kellin Quinn),Pierce The Veil,1,https://www.youtube.com/watch?v=icXUkIfZxyg
33,26,Stranger Things,Kyle Dixon & Michael Stein,8,https://www.youtube.com/watch?v=2obv0DHuhu4
34,25,Hello,OMFG,9,https://www.youtube.com/watch?v=aaIjs8K3oYo
35,n/a,Cooler Than Me,Mike Posner,20,https://www.youtube.com/watch?v=mqWq_48LxWQ
36,18,THANKFUL,Forrest Frank,4,https://www.youtube.com/watch?v=VOZbswniA-g
37,29,Wish (Live),Trippie Redd & Diplo,14,https://www.youtube.com/watch?v=zOdKS_ayMyM
38,32,DON`T STOP,GLXXMSTRIDER,12,https://www.youtube.com/watch?v=9ZeUei8IUxA
39,31,fragment (slowed),slxughter,9,https://www.youtube.com/watch?v=rngLO3tF2mA
40,n/a,Funny,Gold-Tiger,1,https://www.youtube.com/watch?v=5kgl9773BT4
41,37,Head Shot / Gas In The Truck,IShowSpeed,10,https://www.youtube.com/watch?v=HvYoohC9kVs
42,27,Strut,Ayanna Ife & Zeddy Will & Jenn Carter,4,https://www.youtube.com/watch?v=pLYymXctanc
43,n/a,Slash Inferno,Waterflame & Teminite & Boom Kitty & Autodidactic Studios,6,https://www.youtube.com/watch?v=X9FMvw8V6ZY
44,34,Running Up That Hill (A Deal With God),Kate Bush,3,https://www.youtube.com/watch?v=wp43OdtAAkM
45,n/a,Havana (feat. Young Thug),Camila Cabello,13,n/a
46,50,Gnarly,KATSEYE,9,https://www.youtube.com/watch?v=R2-yomhYAj4
47,41,Zoo,Shakira,3,https://www.youtube.com/watch?v=Kw3935PH01E
48,n/a,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,6,https://www.youtube.com/watch?v=eIQqtWOA12c
49,n/a,SARAVIA FUNK ,RD12 & Dj Funks & DJ DYLANFK & 0to8,1,https://www.youtube.com/watch?v=2EE1TDmZIsI
50,42,Upside Down,Diana Ross,2,https://www.youtube.com/watch?v=hDHW5wXBvLw
