Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Ocean Eyes,Billie Eilish,2,https://www.youtube.com/watch?v=viimfQi_pUw
2,2,Confess your love (feat. ola.wav),Jiandro,6,https://www.youtube.com/watch?v=LfHm50UJW6U
3,4,Doot Doot (6 7),Skrilla,14,https://www.youtube.com/watch?v=XnygT6ANLzQ
4,17,Ode to Joy,SENYUWANGLUO,2,https://www.youtube.com/watch?v=-mNjULF7ujM
5,n/a,Dive Dimension,Donn Eskaran,1,https://www.youtube.com/watch?v=QIylcpQiyuQ
6,3,The Days,CHRYSTAL,6,https://www.youtube.com/watch?v=o8RcHrz2-uU
7,31,pistacia vera,SENYUWANGLUO,2,https://www.youtube.com/watch?v=qKPeenJTSQo
8,6,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,11,https://www.youtube.com/watch?v=yebNIHKAC4A
9,45,Xiong Wei,LUJIAJI,4,https://www.youtube.com/watch?v=nIN9JUVIdWo
10,n/a,Dimension Dive,Donn Eskaran,1,https://www.youtube.com/watch?v=7M4wCbEh-Vo
11,7,Sugar On My Tongue,Tyler The Creator,5,https://www.youtube.com/watch?v=ljHdccyQbT4
12,19,Moonlight No.7,GloryLimited Library,2,https://www.youtube.com/watch?v=4SMhehLSBhw
13,8,SODA POP,Saja Boys,12,https://www.youtube.com/watch?v=eny0BqmSwmM
14,12,Voice Of Mystery,GloryLimited Library,2,https://www.youtube.com/watch?v=fkg-zCkAO7s
15,11,ACELERADA,sma$her & MXZI,7,https://www.youtube.com/watch?v=YQkeI3BQdP0
16,n/a,When Did You Get Hot?,Sabrina Carpenter,1,https://www.youtube.com/watch?v=bnhV-OBnGCE
17,48,Pale Air,Blaze Riot,3,https://www.youtube.com/watch?v=AOrjB38bAlw
18,n/a,Friendships (feat. Leony),Pascal Letoublon,12,https://www.youtube.com/watch?v=1g3Toj4-RMg
19,16,Mooo!,Doja Cat,3,https://www.youtube.com/watch?v=mXnJqYwebF8
20,10,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,9,https://www.youtube.com/watch?v=cWppAbqm9I8
21,42,Waited for It to Fade,Face Tommy,2,https://www.youtube.com/watch?v=77HcxLxbgMk
22,5,Brave Core,LUJIAJI,2,https://www.youtube.com/watch?v=RPiC0rI3jGs
23,23,MENTE MÁ,Nakama & Mc Staff,5,https://www.youtube.com/watch?v=cXDOHqa_QgY
24,14,Devil in Disguise,Marino,9,https://www.youtube.com/watch?v=DC-cqWO_GM0
25,27,Take Me Thru Dere,Metro Boomin & Quavo & Breskii & YKNIECE & DJ Spinz,3,https://www.youtube.com/watch?v=iUZyn_w6Y1Q
26,20,Milkshake,Kelis,10,https://www.youtube.com/watch?v=6AwXKJoKJz4
27,32,poster boy,2hollis,2,https://www.youtube.com/watch?v=H2vTrHc-OGk
28,25,NO ERA AMOR - Super Slowed,DJ Asul,6,https://www.youtube.com/watch?v=V7WnvoFbcHI
29,26,MONTAGEM XONADA,MXZI & Dj Samir & DJ Javi26,6,https://www.youtube.com/watch?v=pUklUX8ITeo
30,n/a,don't miss me,Claire Rosinkranz,1,https://www.youtube.com/watch?v=DpRktghv0mc
31,40,Kept My Back Straight,Face Tommy,2,https://www.youtube.com/watch?v=_hUQZsjOjsc
32,21,My Truck,BRELAND,3,https://www.youtube.com/watch?v=ezqTO4xaH6A
33,37,From The Start,Laufey,2,https://www.youtube.com/watch?v=lSD_L-xic9o
34,30,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,6,https://www.youtube.com/watch?v=EmmYDU3Rjpg
35,n/a,Romantic Homicide,d4vd,8,https://www.youtube.com/watch?v=eKL3TceSxvk
36,35,Spring Whimsy,KAFETOP,2,https://www.youtube.com/watch?v=UiF8DdLSzJo
37,n/a,Sir Barksalot,ZHAOMING,1,https://www.youtube.com/watch?v=Xpd3i8BB044
38,n/a,Broken Time - LUMEA (Official Mood Video),Lumea,1,https://www.youtube.com/watch?v=_lCUlzO0qpw
39,n/a,Across the Meadow,Donn Eskaran,1,https://www.youtube.com/watch?v=9TFD_k_ARD0
40,n/a,How It’s Done,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,1,https://www.youtube.com/watch?v=QGsevnbItdU
41,n/a,COWBELL WARRIOR!,SXMPRA,11,https://www.youtube.com/watch?v=0dT9siTP70Y
42,44,Sinners_dancing,GloryLimited Library,2,https://www.youtube.com/watch?v=k6Q4Fy257Bs
43,41,Breakin' Dishes,Rihanna,3,https://www.youtube.com/watch?v=LO71pC20BDI
44,n/a,Bark Like You Want It,Sir Mix-A-Lot,1,https://www.youtube.com/watch?v=r06VZKwykgU
45,n/a,Russian Girl,Женя Любич,1,https://www.youtube.com/watch?v=x9MNAtd9hFE
46,n/a,𝐀𝐧𝐚𝐥𝐨𝐠 𝐇𝐨𝐫𝐫𝐨𝐫 𝐅𝐮𝐧𝐤 (𝟔𝟕) - 𝐃𝐉 𝐑𝐚𝐮𝐥𝐢𝐩𝐮𝐞𝐬 - (𝐒𝐮𝐩𝐞𝐫 𝐒𝐥𝐨𝐰𝐞𝐝),qqPues & DJ Raulipues,1,https://www.youtube.com/watch?v=LAREL-WTRZY
47,n/a,forget卡点舞,DJ易拉罐,1,https://www.youtube.com/watch?v=CSnF5xMwXwU
48,n/a,SirBarksALot,ZHAOMING,1,https://www.youtube.com/watch?v=1_Vj-eJT-os
49,n/a,September,Earth Wind & Fire,1,https://www.youtube.com/watch?v=Gs069dndIYk
50,28,Oh Ok (release the files),ian & Shonci,4,https://www.youtube.com/watch?v=6IeSiIdMvzA
