Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Montagem Miau (Ultra Slowed),Lenar,5,n/a
2,10,LET THE WORLD BURN,Chris Grey,4,https://www.youtube.com/watch?v=fdJrSjMgPFE
3,2,CHANEL,Tyla,3,https://www.youtube.com/watch?v=xiZUf98A1Ts
4,6,All I Want for Christmas Is You,Mariah Carey,25,https://www.youtube.com/watch?v=aAkMkVFwAoo
5,3,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,7,https://www.youtube.com/watch?v=Cpc1akSzjPY
6,4,What You Is,YoungBoy Never Broke Again & Mellow Rackz,7,https://www.youtube.com/watch?v=5p29VznFXhg
7,28,Should I Stay or Should I Go,The Clash,2,https://www.youtube.com/watch?v=xMaE6toi4mk
8,5,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,3,https://www.youtube.com/watch?v=sTHhz9LXdjw
9,9,Doot Doot (6 7),Skrilla,24,https://www.youtube.com/watch?v=XnygT6ANLzQ
10,12,NO BATIDÃO,slxughter,4,https://www.youtube.com/watch?v=GXioir-fujY
11,18,L O V E,Michael Bublé,12,https://www.youtube.com/watch?v=sdOvR6Io9Ao
12,8,Head Shot / Gas In The Truck,IShowSpeed,4,https://www.youtube.com/watch?v=HvYoohC9kVs
13,n/a,Heather,Conan Gray,7,https://www.youtube.com/watch?v=24u3NoPvgMw
14,22,Sleigh Ride,The Ronettes,2,https://www.youtube.com/watch?v=DkXIJe8CaIc
15,11,Ocean Eyes,Billie Eilish,12,https://www.youtube.com/watch?v=viimfQi_pUw
16,n/a,Mistletoe,Justin Bieber,1,https://www.youtube.com/watch?v=LUjn3RpkcKY
17,7,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,9,https://www.youtube.com/watch?v=Hd5nXTyaXZg
18,33,Now or Never,Halsey,2,https://www.youtube.com/watch?v=kzQTc0-iBX8
19,13,Confess your love (feat. ola.wav),Jiandro,16,https://www.youtube.com/watch?v=LfHm50UJW6U
20,46,Rockin' Around The Christmas Tree,Brenda Lee,16,https://www.youtube.com/watch?v=TFsZy9t-qDc
21,36,do re mi (feat. Gucci Mane),blackbear,2,https://www.youtube.com/watch?v=dfzlUHOFQ5k
22,15,Wish (Live),Trippie Redd & Diplo,8,https://www.youtube.com/watch?v=zOdKS_ayMyM
23,17,TURN UP,PlaqueBoyMax & Rakai & BunnaB,4,https://www.youtube.com/watch?v=7IsidEhdLa0
24,20,MONTAGEM VOZES TALENTINHO (Super Slowed),heapper & DJ JUAN & Mc Luizinho,5,https://www.youtube.com/watch?v=RNElZfQ2zJA
25,27,Riley,Juicy J & Lex Luger,3,https://www.youtube.com/watch?v=ZjgreqGLbqc
26,n/a,How to Tango,Arthur Benson,1,https://www.youtube.com/watch?v=E-I3BWHuCV8
27,23,Dark Red (Funk Ultra Slowed),ZMAJOR & dearukia & SEKIMANE & zxnc,5,https://www.youtube.com/watch?v=zVxS9Jaj32o
28,19,Sugar On My Tongue,Tyler The Creator,15,https://www.youtube.com/watch?v=ljHdccyQbT4
29,n/a,Jingle Bell Rock,Bobby Helms,12,https://www.youtube.com/watch?v=Z0ajuTaHBtM
30,16,PIBBLE WASH MY BELLY FUNK,real wayne & aphonkus & DJ MOG,5,https://www.youtube.com/watch?v=HZqh9WwPVss
31,21,I Left My Home,Jonathan Michael Fleming,2,https://www.youtube.com/watch?v=2ZpKUL3JRyA
32,25,DON`T STOP,GLXXMSTRIDER,7,https://www.youtube.com/watch?v=9ZeUei8IUxA
33,45,Last Christmas,Wham!,15,https://www.youtube.com/watch?v=E8gmARGvPlI
34,31,Game over!,Harris Cole,11,https://www.youtube.com/watch?v=fTQb5umb1dg
35,n/a,MONTAGEM GRITOS TALENTO (SUPER SLOWED) (feat. mc baiano MC RD & Mc Gw),prodbydxm & DJ FRIZER & DJ FZ DA ZN,1,https://www.youtube.com/watch?v=2tUrbTkuXPI
36,34,Stranger Things,Kyle Dixon & Michael Stein,3,https://www.youtube.com/watch?v=2obv0DHuhu4
37,32,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,16,https://www.youtube.com/watch?v=EmmYDU3Rjpg
38,43,Epic Inspiration,AShamaluevMusic,8,https://www.youtube.com/watch?v=CvLHKUtcFg4
39,38,fragment (slowed),slxughter,4,https://www.youtube.com/watch?v=rngLO3tF2mA
40,49,Before You Go,Lewis Capaldi,8,https://www.youtube.com/watch?v=Jtauh8GcxBY
41,n/a,Havana (feat. Young Thug),Camila Cabello,12,n/a
42,26,Hate Me,Ellie Goulding & Juice WRLD,5,https://www.youtube.com/watch?v=UZwi9SHgzGY
43,35,CLIMA LINDO (SLOWED),GXMZ & Repsaj,15,https://www.youtube.com/watch?v=P12jBX75B48
44,24,Pitbull Terrier,Die Antwoord,6,https://www.youtube.com/watch?v=JvMXVHVr72A
45,n/a,It's Beginning To Look A Lot Like Christmas,Michael Bublé,5,https://www.youtube.com/watch?v=0bhsXykXxfg
46,n/a,Treat You Better,Shawn Mendes,8,https://www.youtube.com/watch?v=lY2yjAdbvdQ
47,n/a,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,3,https://www.youtube.com/watch?v=eIQqtWOA12c
48,39,Hello,OMFG,6,https://www.youtube.com/watch?v=aaIjs8K3oYo
49,n/a,you broke me first,Tate McRae,4,https://www.youtube.com/watch?v=AG-erEMhumc
50,44,Gabriela,KATSEYE,2,https://www.youtube.com/watch?v=CjnB56tSCQI
