Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,2,Lush Life,Zara Larsson,8,https://www.youtube.com/watch?v=tD4HCZe-tew
2,1,Big Guy,Ice Spice,9,https://www.youtube.com/watch?v=7yaU0qXlgbo
3,4,NO BATIDÃO,slxughter,13,https://www.youtube.com/watch?v=GXioir-fujY
4,8,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,4,https://www.youtube.com/watch?v=J7Xzgcu6vVk
5,6,Montagem Miau (Ultra Slowed),Lenar,13,n/a
6,5,Without Me,Halsey,2,https://www.youtube.com/watch?v=ZAfAud_M_mg
7,7,Internet Girl,KATSEYE,5,https://www.youtube.com/watch?v=5q9EjSUovc4
8,9,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,3,https://www.youtube.com/watch?v=qVuwUR5_FsE
9,14,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,9,https://www.youtube.com/watch?v=eIQqtWOA12c
10,12,Gozalo (Remix),Ariis,5,https://www.youtube.com/watch?v=GkqzojRVtGo
11,3,Cheerleader (Felix Jaehn Remix),OMI,3,https://www.youtube.com/watch?v=jGflUbPQfW8
12,17,Hello,OMFG,12,https://www.youtube.com/watch?v=aaIjs8K3oYo
13,49,Trap Queen,Fetty Wap,2,https://www.youtube.com/watch?v=i_kF4zLNKio
14,10,What You Saying,Lil Uzi Vert,3,https://www.youtube.com/watch?v=pwVEpinyTTQ
15,13,BOO,H3adband,6,https://www.youtube.com/watch?v=km5bgjATdCk
16,18,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,2,https://www.youtube.com/watch?v=bEYiPCbHAtM
17,21,i walk this earth all by myself,EKKSTACY,7,https://www.youtube.com/watch?v=uto7z_YEuaM
18,15,There's Nothing Holdin' Me Back,Shawn Mendes,11,https://www.youtube.com/watch?v=dT2owtxkU8k
19,11,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,16,https://www.youtube.com/watch?v=Cpc1akSzjPY
20,16,CHANEL,Tyla,12,https://www.youtube.com/watch?v=xiZUf98A1Ts
21,25,Stateside,PinkPantheress & Zara Larsson,3,https://www.youtube.com/watch?v=lIxQe1R5hs0
22,n/a,Roc Steady (feat. Flo Milli),Megan Thee Stallion,1,https://www.youtube.com/watch?v=HozPPyqW0dY
23,19,I Thought I Saw Your Face Today,She & Him,4,https://www.youtube.com/watch?v=pyGU-UudvrM
24,20,Don't Mind,Kent Jones,9,https://www.youtube.com/watch?v=n49qi-dU9IE
25,26,Phantom,EsDeeKid & Rico Ace,7,https://www.youtube.com/watch?v=hmdzniMJOZs
26,n/a,What I Was Born To Do,Original Broadway Cast Recording,5,https://www.youtube.com/watch?v=r9SKTsG0hUA
27,n/a,Paloma Blanca,George Baker Selection,1,https://www.youtube.com/watch?v=TCmu-fB4TDs
28,28,Epic Inspiration,AShamaluevMusic,15,https://www.youtube.com/watch?v=CvLHKUtcFg4
29,n/a,Two Birds,Regina Spektor,1,https://www.youtube.com/watch?v=Bb3_oDWiD_w
30,22,LET THE WORLD BURN,Chris Grey,13,https://www.youtube.com/watch?v=fdJrSjMgPFE
31,23,NOT CUTE ANYMORE,ILLIT,8,https://www.youtube.com/watch?v=x_RYZsOfpKY
32,33,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,12,https://www.youtube.com/watch?v=sTHhz9LXdjw
33,n/a,peekaboo (feat. AZ Chike),Kendrick Lamar,17,https://www.youtube.com/watch?v=cbHkzwa0QmM
34,31,Upside Down,Diana Ross,4,https://www.youtube.com/watch?v=hDHW5wXBvLw
35,27,DON`T STOP,GLXXMSTRIDER,15,https://www.youtube.com/watch?v=9ZeUei8IUxA
36,29,End of Beginning,Djo,12,https://www.youtube.com/watch?v=oXSw8DGjf5E
37,n/a,Fame is a Gun,Addison Rae,1,https://www.youtube.com/watch?v=TkwZ2uQu2hE
38,n/a,SI TE SABES EL TIKTOK BAILA!,RAW NOIZE,1,https://www.youtube.com/watch?v=Tv7OBQaWwMs
39,39,Stranger Things,Kyle Dixon & Michael Stein,11,https://www.youtube.com/watch?v=2obv0DHuhu4
40,46,Funny,Gold-Tiger,4,https://www.youtube.com/watch?v=5kgl9773BT4
41,24,What You Is,YoungBoy Never Broke Again & Mellow Rackz,16,https://www.youtube.com/watch?v=5p29VznFXhg
42,n/a,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,1,https://www.youtube.com/watch?v=72zXataH1H8
43,n/a,Gnarly,KATSEYE,10,https://www.youtube.com/watch?v=R2-yomhYAj4
44,40,That's What I Like,Bruno Mars,3,https://www.youtube.com/watch?v=PMivT7MJ41M
45,34,BI,KISLOTV,12,https://www.youtube.com/watch?v=fQAovWwAtws
46,n/a,The City's Yours,Jamie Foxx & Quvenzhané Wallis,2,https://www.youtube.com/watch?v=DZg5WpWQhig
47,n/a,Running Up That Hill (A Deal With God),Kate Bush,4,https://www.youtube.com/watch?v=wp43OdtAAkM
48,n/a,I Just Might,Bruno Mars,1,https://www.youtube.com/watch?v=mrV8kK5t0V8
49,37,Riley,Juicy J & Lex Luger,12,https://www.youtube.com/watch?v=ZjgreqGLbqc
50,32,Want U Back,Cher Lloyd,2,https://www.youtube.com/watch?v=LPgvNlrBfb0
