Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,misery.,pupsies,3,https://www.youtube.com/watch?v=qJKcADiAuAw
2,2,GUT GENUG (feat. Blumengarten & Shirin David),KITSCHKRIEG,6,https://www.youtube.com/watch?v=0GnA8VYOfko
3,3,Fat Little Chud,miv@me,3,https://www.youtube.com/watch?v=w3gOOA_1M4Q
4,4,ICONIC BY MISTAKE,LE SSERAFIM & ILLIT & KATSEYE,6,https://www.youtube.com/watch?v=27C4pfRsf9g
5,7,Dai Dai,Shakira & Burna Boy,7,https://www.youtube.com/watch?v=fcnDmrtj6Sk
6,n/a,FREAKED OUT,Fat Papi & prodshushy,1,https://www.youtube.com/watch?v=Q6978DnF8C4
7,13,Ghetto Love Story,BabyChiefDoit,2,https://www.youtube.com/watch?v=C-47Vg6Eq5o
8,6,LET ME DRIVE FUNK,DJ VRK & DJ TUUV & ahh,4,https://www.youtube.com/watch?v=iQKXrPZ-P5k
9,5,Life Goes On,Oliver Tree,6,https://www.youtube.com/watch?v=8F2s8ivKXNY
10,8,matrix (bl studio loop) (slowed),chrmbchrmb,5,https://www.youtube.com/watch?v=J43OKxcNTD4
11,n/a,HELLO NEIGHBOR FUNK,H11T,1,https://www.youtube.com/watch?v=NbuzmpmB8Jo
12,33,Neva Play (feat. RM),Megan Thee Stallion,2,https://www.youtube.com/watch?v=TpYTyAaTRts
13,14,ふたつの木馬 (feat. Hatsune Miku),KIKUO,3,https://www.youtube.com/watch?v=lSreY_7i6No
14,12,DYW Dance,Sunny 6700,5,https://www.youtube.com/watch?v=i_T88LjTuDc
15,21,Champions (WC 26),IShowSpeed,6,https://www.youtube.com/watch?v=vrY1THC_NQE
16,34,Kwik Flip | YTPMV,90's or 20's cartoons,6,https://www.youtube.com/watch?v=yHyPIGOy5fI
17,49,Haaland (Ha Ha Ha),CTID,2,https://www.youtube.com/watch?v=cixr-7fMWwU
18,36,Fine Ass,Don Trip,2,https://www.youtube.com/watch?v=HF-qwYUPOXw
19,10,MONTAGEM ONE MORE GAME,DJ KVNXD,4,https://www.youtube.com/watch?v=nl2PNxN5ccQ
20,9,Bang Bang Bang (lil yappa/minus b remix) (feat. BBpanzu),Lil Yappa,11,https://www.youtube.com/watch?v=OLKjWMvoY40
21,11,Sua amiga eu vou pegar,MC Lan & MC WM,3,https://www.youtube.com/watch?v=sErngyjY5fI
22,n/a,bloodstream,Alyssa Grace,1,https://www.youtube.com/watch?v=FOJ4A4wixDg
23,20,Golden Brown,The Stranglers,11,https://www.youtube.com/watch?v=Kp-kFTSFyR0
24,19,Cinderella (feat. Ty Dolla $ign),Mac Miller,5,https://www.youtube.com/watch?v=FFamEq1PilQ
25,18,Chicago,Michael Jackson,9,https://www.youtube.com/watch?v=Y_8mUx4VOmo
26,n/a,RAHHHH,alt!,24,https://www.youtube.com/watch?v=FE0N2_OS0kg
27,41,Impostor Syndrome,Sidney Gish,8,https://www.youtube.com/watch?v=GwSSrwryxN0
28,27,Earrings,Malcolm Todd,12,https://www.youtube.com/watch?v=a4tdS3IB294
29,28,she goes by.,where.t.at,9,https://www.youtube.com/watch?v=VEA98Y4a6sU
30,17,Self Aware,Temper City,8,https://www.youtube.com/watch?v=mh4AQkw4Jjc
31,30,i just get so nervy (ultra slowed),HYFY,8,https://www.youtube.com/watch?v=CJ044DqMMbE
32,44,MONTAGEM URANIUM (Slowed),ZAYLO,2,https://www.youtube.com/watch?v=1Z0ACURnv1g
33,25,The Chase,Scott Frenzel,2,https://www.youtube.com/watch?v=F1ozK8G9XMQ
34,42,Pipelinefunk Concert (Live),Armin Küpper,7,https://www.youtube.com/watch?v=p8GcHoSIPDg
35,32,LAST CHANCE FUNK (Alt Version Ultra Slowed),TEENWXVE,15,https://www.youtube.com/watch?v=9lBD7QQmoYE
36,24,Run It Back #JerseyClub (feat. Nueve Lio),Salako,4,https://www.youtube.com/watch?v=SIzYokE5Fuk
36,n/a,Synth/Jersey Club,NovaX & Sevven,1,https://www.youtube.com/watch?v=QJg5LYZi3Cg
38,n/a,Alone,Alan Walker,2,https://www.youtube.com/watch?v=1-xGerv5FOk
39,23,Cheerleader (Felix Jaehn Remix),OMI,13,https://www.youtube.com/watch?v=jGflUbPQfW8
40,16,Never Have I Ever,Scott Frenzel,9,https://www.youtube.com/watch?v=5SykX2_t1Vw
41,29,the cure,Olivia Rodrigo,5,https://www.youtube.com/watch?v=B402rKl4bUg
42,26,Copines,Aya Nakamura,14,https://www.youtube.com/watch?v=EkGiGf8utCM
43,46,LEGACY (Slowed down) (feat. PIXY),backfromparadise,2,https://www.youtube.com/watch?v=NAzaaMUHfx0
44,n/a,CALL THE DOCTOR,PISSGOBLIN & DEV & The Cataracs,1,https://www.youtube.com/watch?v=9UrT1iIihnI
45,n/a,好きって100回言って (feat. Hatsune Miku),kawaii vocaloid,2,https://www.youtube.com/watch?v=ux4_vp8HpJo
46,43,worry (Slowed),LONOWN & riserayss,5,https://www.youtube.com/watch?v=f3DoKx_R1_s
47,n/a,Suicidal (Remix) (feat. Juice WRLD),YNW Melly,12,https://www.youtube.com/watch?v=-V2PxXsctV0
48,40,Headlights (feat. KIDDO),Alok & Alan Walker,14,https://www.youtube.com/watch?v=zDy8K0o_ksA
49,48,kompa pasión,Frozy,17,https://www.youtube.com/watch?v=IV80Qkf8dPI
50,37,Billie Jean,Michael Jackson,13,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
