Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,11,Yoga,Janelle Monáe & Jidenna,2,https://www.youtube.com/watch?v=0OkB6p_FZAw
2,3,Babydoll,Dominic Fike,3,https://www.youtube.com/watch?v=KqMOKCRgvD8
3,6,Bazooka,Miami XO,4,https://www.youtube.com/watch?v=pCcT7EkYnoE
4,2,NO BATIDÃO,slxughter,18,https://www.youtube.com/watch?v=GXioir-fujY
5,1,Two Birds,Regina Spektor,6,https://www.youtube.com/watch?v=Bb3_oDWiD_w
6,7,Lush Life,Zara Larsson,13,https://www.youtube.com/watch?v=tD4HCZe-tew
7,4,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,5,https://www.youtube.com/watch?v=skhxizRYxps
8,8,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,9,https://www.youtube.com/watch?v=J7Xzgcu6vVk
9,9,Big Guy,Ice Spice,14,https://www.youtube.com/watch?v=7yaU0qXlgbo
10,14,Hate Me,Ellie Goulding & Juice WRLD,8,https://www.youtube.com/watch?v=UZwi9SHgzGY
11,10,Without You (feat. USHER),David Guetta,2,https://www.youtube.com/watch?v=jUe8uoKdHao
12,5,KINDA HOMELESS FUNK,Anitor & HugeBoi & Vlxnor,3,https://www.youtube.com/watch?v=M1IPEJA1ybU
13,15,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,14,https://www.youtube.com/watch?v=eIQqtWOA12c
14,16,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,8,https://www.youtube.com/watch?v=qVuwUR5_FsE
15,12,DtMF,Bad Bunny,5,https://www.youtube.com/watch?v=v9T_MGfzq7I
16,13,White Keys,Dominic Fike,4,https://www.youtube.com/watch?v=Cz200209hOs
17,21,World's Smallest Violin,AJR,2,https://www.youtube.com/watch?v=PEnJbjBuxnw
18,26,That's What I Like,Bruno Mars,8,https://www.youtube.com/watch?v=PMivT7MJ41M
19,18,Stateside,PinkPantheress & Zara Larsson,8,https://www.youtube.com/watch?v=lIxQe1R5hs0
20,n/a,What I Was Born To Do,Original Broadway Cast Recording,7,https://www.youtube.com/watch?v=r9SKTsG0hUA
21,30,DREAM FUNK,LUMIX & KXRSED,4,https://www.youtube.com/watch?v=vNjDh-yOF0c
22,20,What You Saying,Lil Uzi Vert,8,https://www.youtube.com/watch?v=pwVEpinyTTQ
23,27,Phantom,EsDeeKid & Rico Ace,12,https://www.youtube.com/watch?v=hmdzniMJOZs
24,46,Só Bundão Grandão,DJ Guuga,2,https://www.youtube.com/watch?v=gn9Qi6XaC6s
25,19,I Thought I Saw Your Face Today,She & Him,9,https://www.youtube.com/watch?v=pyGU-UudvrM
26,n/a,love you love you not,little purr man,1,https://www.youtube.com/watch?v=yGi7ZgPC4hA
27,n/a,E85,Don Toliver,1,https://www.youtube.com/watch?v=rVD-zV6ctoM
28,n/a,Wet,Dazey and the Scouts,1,https://www.youtube.com/watch?v=Qi2R3d8hiwM
29,n/a,RUDE!,Hearts2Hearts,1,https://www.youtube.com/watch?v=F7sGJVUrkjQ
30,24,Gozalo (Remix),Ariis,10,https://www.youtube.com/watch?v=GkqzojRVtGo
31,25,BI,KISLOTV,16,https://www.youtube.com/watch?v=fQAovWwAtws
32,48,Sleep Well(Live),Cg5,7,https://www.youtube.com/watch?v=lsZkA0SZHN8
33,22,Internet Girl,KATSEYE,10,https://www.youtube.com/watch?v=5q9EjSUovc4
34,n/a,Trillium (feat. Sara),S3RL,4,https://www.youtube.com/watch?v=qePEFXdHOoI
35,n/a,Go Away (feat. Best Coast),Weezer,1,https://www.youtube.com/watch?v=pnTIsubYbCU
36,23,Without Me,Halsey,7,https://www.youtube.com/watch?v=ZAfAud_M_mg
37,28,i walk this earth all by myself,EKKSTACY,12,https://www.youtube.com/watch?v=uto7z_YEuaM
38,n/a,Sea of Thieves,snackrunner,1,https://www.youtube.com/watch?v=fKgP--B5ncc
39,n/a,DON'T PLAY WITH ME,Thompsxn Therapy,1,https://www.youtube.com/watch?v=ligBrggzzeE
40,n/a,Riley,Juicy J & Lex Luger,13,https://www.youtube.com/watch?v=ZjgreqGLbqc
41,n/a,Long Way 2 Go,Cassie,1,https://www.youtube.com/watch?v=agNvdSIIkXA
42,47,MATADORA (Super Slowed),Brazilian Phonk & Bass Boosted & Trap Nation (US),3,https://www.youtube.com/watch?v=9jSq99uN7q0
43,n/a,MONTAGEM DOMER (Super Slowed),Paizo & DJ LXILL & DJ FallThox,1,https://www.youtube.com/watch?v=XURd55MFBCU
44,43,SORRY MOZART FUNK,Mishashi Sensei,3,https://www.youtube.com/watch?v=hwrt5O9IWlw
45,n/a,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,5,https://www.youtube.com/watch?v=72zXataH1H8
46,34,BOO,H3adband,11,https://www.youtube.com/watch?v=km5bgjATdCk
47,40,First Place,Larray,9,https://www.youtube.com/watch?v=3inQPQvm-8I
48,n/a,Shower,Becky G,1,https://www.youtube.com/watch?v=50-_oTkmF5I
49,33,Gnarly,KATSEYE,15,https://www.youtube.com/watch?v=R2-yomhYAj4
50,n/a,TRILLIUM HARDTEKK,S3RL & Bearn,1,https://www.youtube.com/watch?v=OgiAdfUKJ3c
