Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Two Birds,Regina Spektor,4,https://www.youtube.com/watch?v=Bb3_oDWiD_w
2,4,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,3,https://www.youtube.com/watch?v=skhxizRYxps
3,2,NO BATIDÃO,slxughter,16,https://www.youtube.com/watch?v=GXioir-fujY
4,3,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,7,https://www.youtube.com/watch?v=J7Xzgcu6vVk
5,40,Bazooka,Miami XO,2,https://www.youtube.com/watch?v=pCcT7EkYnoE
6,5,Lush Life,Zara Larsson,11,https://www.youtube.com/watch?v=tD4HCZe-tew
7,6,Big Guy,Ice Spice,12,https://www.youtube.com/watch?v=7yaU0qXlgbo
8,7,DtMF,Bad Bunny,3,https://www.youtube.com/watch?v=v9T_MGfzq7I
9,n/a,KINDA HOMELESS FUNK,Anitor & HugeBoi & Vlxnor,1,https://www.youtube.com/watch?v=M1IPEJA1ybU
10,35,White Keys,Dominic Fike,2,https://www.youtube.com/watch?v=Cz200209hOs
11,8,Montagem Miau (Ultra Slowed),Lenar,16,n/a
12,11,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,6,https://www.youtube.com/watch?v=qVuwUR5_FsE
13,9,Internet Girl,KATSEYE,8,https://www.youtube.com/watch?v=5q9EjSUovc4
14,12,I Thought I Saw Your Face Today,She & Him,7,https://www.youtube.com/watch?v=pyGU-UudvrM
15,10,Hello,OMFG,15,https://www.youtube.com/watch?v=aaIjs8K3oYo
16,18,Stateside,PinkPantheress & Zara Larsson,6,https://www.youtube.com/watch?v=lIxQe1R5hs0
17,n/a,Honey I'm Good.,Andy Grammer,1,https://www.youtube.com/watch?v=Go7gn6dugu0
18,15,Phantom,EsDeeKid & Rico Ace,10,https://www.youtube.com/watch?v=hmdzniMJOZs
19,13,What You Saying,Lil Uzi Vert,6,https://www.youtube.com/watch?v=pwVEpinyTTQ
20,14,Gozalo (Remix),Ariis,8,https://www.youtube.com/watch?v=GkqzojRVtGo
21,19,LET THE WORLD BURN,Chris Grey,16,https://www.youtube.com/watch?v=fdJrSjMgPFE
22,27,弥渡山歌 (Midu Echoing) (Ultra Slowed),YANGYINYUE,2,https://www.youtube.com/watch?v=VWYC_3z8G-w
23,17,Please Me,Cardi B & Bruno Mars,3,https://www.youtube.com/watch?v=3y-O-4IL-PU
24,16,Without Me,Halsey,5,https://www.youtube.com/watch?v=ZAfAud_M_mg
25,22,DREAM FUNK,LUMIX & KXRSED,2,https://www.youtube.com/watch?v=vNjDh-yOF0c
26,33,Join Us For A Bite (feat. Andrea Storm Kaden),JT Music,2,https://www.youtube.com/watch?v=rLeQSd7R-jU
27,23,CHANEL,Tyla,15,https://www.youtube.com/watch?v=xiZUf98A1Ts
28,25,i walk this earth all by myself,EKKSTACY,10,https://www.youtube.com/watch?v=uto7z_YEuaM
29,20,Trap Queen,Fetty Wap,5,https://www.youtube.com/watch?v=i_kF4zLNKio
30,21,BOO,H3adband,9,https://www.youtube.com/watch?v=km5bgjATdCk
31,n/a,SORRY MOZART FUNK,Mishashi Sensei,1,https://www.youtube.com/watch?v=hwrt5O9IWlw
32,n/a,King For A Day (feat. Kellin Quinn),Pierce The Veil,4,https://www.youtube.com/watch?v=icXUkIfZxyg
33,39,First Place,Larray,7,https://www.youtube.com/watch?v=3inQPQvm-8I
34,32,Night Mail (PM_FOUR),PM_FOUR,2,https://www.youtube.com/watch?v=7zI_RbPLcQA
35,50,Gnarly,KATSEYE,13,https://www.youtube.com/watch?v=R2-yomhYAj4
36,n/a,Babydoll,Dominic Fike,1,https://www.youtube.com/watch?v=KqMOKCRgvD8
37,30,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,12,https://www.youtube.com/watch?v=eIQqtWOA12c
38,28,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,15,https://www.youtube.com/watch?v=sTHhz9LXdjw
39,38,Papaoutai (Afro Soul),mikeeysmind & Chill77 & Unjaps,4,https://www.youtube.com/watch?v=72zXataH1H8
40,44,That's What I Like,Bruno Mars,6,https://www.youtube.com/watch?v=PMivT7MJ41M
41,n/a,snow elves,galen tipton,2,https://www.youtube.com/watch?v=EV4eP_6xB_U
42,26,Love & Smiles,ay3demi & Keno Carter,5,https://www.youtube.com/watch?v=1QZlz5Eyv94
43,36,Fame is a Gun,Addison Rae,4,https://www.youtube.com/watch?v=TkwZ2uQu2hE
44,n/a,Funny,Gold-Tiger,6,https://www.youtube.com/watch?v=5kgl9773BT4
45,n/a,The Nights,Avicii,1,https://www.youtube.com/watch?v=UtF6Jej8yb4
46,n/a,MATADORA (Super Slowed),Brazilian Phonk & Bass Boosted & Trap Nation (US),1,https://www.youtube.com/watch?v=9jSq99uN7q0
47,n/a,Zero IQ Freestyle,Never Broke Again & YoungBoy Never Broke Again,1,https://www.youtube.com/watch?v=9dOWTX7BnOg
48,31,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,5,https://www.youtube.com/watch?v=bEYiPCbHAtM
49,45,LET 'EM KNOW,T.I.,2,https://www.youtube.com/watch?v=mcg4z1gGbEw
50,n/a,Derry Bop,M Row,1,https://www.youtube.com/watch?v=YOQxUYLPuwU
