Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Unc,Kyle Exum,2,https://www.youtube.com/watch?v=TeZiDoRvfbw
2,4,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,3,https://www.youtube.com/watch?v=ngORmvyvAaI
3,2,Babydoll,Dominic Fike,12,https://www.youtube.com/watch?v=KqMOKCRgvD8
4,40,Nervy Funk (Ultra Slowed),DJ KVNXD & Dj Zidzz & BRTS7 & DJ ALGUS ZL,2,https://www.youtube.com/watch?v=wsGZiZvUBf0
5,29,say wallahi bro song,Vault uploads,2,https://www.youtube.com/watch?v=fF0x5nTQHbA
6,3,LAST CHANCE FUNK (Alt Version Ultra Slowed),TEENWXVE,5,https://www.youtube.com/watch?v=9lBD7QQmoYE
7,9,Copines,Aya Nakamura,4,https://www.youtube.com/watch?v=EkGiGf8utCM
8,n/a,Boston,STELLA LEFTY,1,https://www.youtube.com/watch?v=v2ttAph6PhM
9,7,Just The Way You Are,Milky,5,https://www.youtube.com/watch?v=QZGsGB7cX3g
10,5,Jax Toy (Reprise) (feat. Michael Kovach),Jakeneutron,4,https://www.youtube.com/watch?v=GcmJAqxWKeA
11,14,dirty laundry,blackbear,9,https://www.youtube.com/watch?v=G3PO8ISLUJk
12,16,HIT THE JACKPOT! (Hakari Dance),GameboyJones,6,https://www.youtube.com/watch?v=_rQiTC7woSg
13,n/a,Billie Jean,Michael Jackson,3,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
14,8,Six Seven,Laurinha Costa & Dj Cabello & Dj Tchouzen & SoundMusic Original,5,https://www.youtube.com/watch?v=Md7kqHsWWs4
15,10,Yoga,Janelle Monáe & Jidenna,11,https://www.youtube.com/watch?v=0OkB6p_FZAw
16,47,MOONLIGHT,XXXTENTACION,7,https://www.youtube.com/watch?v=GX8Hg6kWQYI
17,6,Meow Meow (Slowed),heapper & ahh,3,https://www.youtube.com/watch?v=8WYa13TQND4
18,13,캐치 캐치,YENA,4,https://www.youtube.com/watch?v=ItSKahBISg0
19,15,TRILLIUM HARDTEKK,S3RL & Bearn,10,https://www.youtube.com/watch?v=OgiAdfUKJ3c
20,12,Sea Lion,Yuno Miles,9,https://www.youtube.com/watch?v=Bc9xCCx8fJU
21,19,PINKY UP,KATSEYE,5,https://www.youtube.com/watch?v=8g7VclWsiaM
22,20,So Easy (To Fall In Love),Olivia Dean,3,https://www.youtube.com/watch?v=3sur4BmjQt8
23,11,Bazooka,Miami XO,13,https://www.youtube.com/watch?v=pCcT7EkYnoE
24,25,Earrings,Malcolm Todd,2,https://www.youtube.com/watch?v=a4tdS3IB294
25,48,Ballin Like Curry (feat. Vincent2icey),IceyboyLandon,2,https://www.youtube.com/watch?v=MT6sXzNDhy4
26,n/a,Want Me! (Remix),Cl4pers & Dj Bubba,1,https://www.youtube.com/watch?v=6UwSTwFOw4s
27,18,MONTAGEM DOMER (Super Slowed),Paizo & DJ LXILL & DJ FallThox,9,https://www.youtube.com/watch?v=XURd55MFBCU
28,17,Estilo Horizonte Diamante (Super Slowed),ASKL hon & DJ IGEEKS & SoulFusi & Echo8,5,https://www.youtube.com/watch?v=-ZTfwr6_TDw
29,n/a,Bang Bang Bang (lil yappa/minus b remix) (feat. BBpanzu),Lil Yappa,1,https://www.youtube.com/watch?v=OLKjWMvoY40
30,37,she goes by.,where.t.at,2,https://www.youtube.com/watch?v=VEA98Y4a6sU
31,n/a,I've Had Enough,Melina KB,1,https://www.youtube.com/watch?v=P-7o_tiPD5A
32,30,Beauty And A Beat (feat. Nicki Minaj),Justin Bieber,4,https://www.youtube.com/watch?v=Ys7-6_t7OEQ
33,n/a,Rät,Penelope Scott,1,https://www.youtube.com/watch?v=LpxT9TLGoLI
34,24,Moonlight,XXXTENTACION,5,https://www.youtube.com/watch?v=-AgyNtbmlyg
35,31,Headlights (feat. KIDDO),Alok & Alan Walker,4,https://www.youtube.com/watch?v=zDy8K0o_ksA
36,42,Black Beatles (feat. Gucci Mane),Rae Sremmurd,6,https://www.youtube.com/watch?v=b8m9zhNAgKs
37,33,No Scrubs,TLC,2,https://www.youtube.com/watch?v=FrLequ6dUdM
38,32,SCUBA JUKE(IT STANKKK),h5wk,5,https://www.youtube.com/watch?v=YtHH50zdclQ
39,n/a,Riley,Juicy J & Lex Luger,15,https://www.youtube.com/watch?v=ZjgreqGLbqc
40,21,TORNADO WARNING HARDTEKK (SPED UP),Riversmelt,2,https://www.youtube.com/watch?v=z_YNa2Q5rYY
41,38,BAD ENDING FUNK,Shimuda & slowlydying,6,n/a
42,n/a,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,16,https://www.youtube.com/watch?v=J7Xzgcu6vVk
43,n/a,Golden Brown,The Stranglers,1,https://www.youtube.com/watch?v=Kp-kFTSFyR0
44,n/a,Impostor Syndrome,Sidney Gish,1,https://www.youtube.com/watch?v=GwSSrwryxN0
45,n/a,FUNK ABNORMAL (SLOWED),DJ V12 & SXID,1,https://www.youtube.com/watch?v=dWXMw_jOtSI
46,26,Go Away (feat. Best Coast),Weezer,10,https://www.youtube.com/watch?v=pnTIsubYbCU
47,n/a,Funny,Gold-Tiger,8,https://www.youtube.com/watch?v=5kgl9773BT4
48,41,Better Than Yours (feat. YoungBoy Never Broke Again),Coi Leray,3,https://www.youtube.com/watch?v=NqLe3mk__kg
49,34,iloveitiloveitiloveit,Bella Kay,8,https://www.youtube.com/watch?v=4D6qatXG5-A
