Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,2,Montagem Miau (Ultra Slowed),Lenar,3,n/a
2,1,What You Is,YoungBoy Never Broke Again & Mellow Rackz,5,https://www.youtube.com/watch?v=5p29VznFXhg
3,4,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,7,https://www.youtube.com/watch?v=Hd5nXTyaXZg
4,3,Ocean Eyes,Billie Eilish,10,https://www.youtube.com/watch?v=viimfQi_pUw
5,28,Head Shot / Gas In The Truck,IShowSpeed,2,https://www.youtube.com/watch?v=HvYoohC9kVs
6,6,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,5,https://www.youtube.com/watch?v=Cpc1akSzjPY
7,8,PIBBLE WASH MY BELLY FUNK,real wayne & aphonkus & DJ MOG,3,https://www.youtube.com/watch?v=HZqh9WwPVss
8,10,All I Want for Christmas Is You,Mariah Carey,23,https://www.youtube.com/watch?v=aAkMkVFwAoo
9,n/a,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,1,https://www.youtube.com/watch?v=sTHhz9LXdjw
10,7,Doot Doot (6 7),Skrilla,22,https://www.youtube.com/watch?v=XnygT6ANLzQ
11,9,Confess your love (feat. ola.wav),Jiandro,14,https://www.youtube.com/watch?v=LfHm50UJW6U
12,19,LET THE WORLD BURN,Chris Grey,2,https://www.youtube.com/watch?v=fdJrSjMgPFE
13,12,blue,yung kai,18,https://www.youtube.com/watch?v=IpFX2vq8HKw
14,17,NO BATIDÃO,slxughter,2,https://www.youtube.com/watch?v=GXioir-fujY
15,15,Wish (Live),Trippie Redd & Diplo,6,https://www.youtube.com/watch?v=zOdKS_ayMyM
16,14,Hate Me,Ellie Goulding & Juice WRLD,3,https://www.youtube.com/watch?v=UZwi9SHgzGY
17,n/a,CHANEL,Tyla,1,https://www.youtube.com/watch?v=xiZUf98A1Ts
18,11,Sugar On My Tongue,Tyler The Creator,13,https://www.youtube.com/watch?v=ljHdccyQbT4
19,18,TURN UP,PlaqueBoyMax & Rakai & BunnaB,2,https://www.youtube.com/watch?v=7IsidEhdLa0
20,16,Pitbull Terrier,Die Antwoord,4,https://www.youtube.com/watch?v=JvMXVHVr72A
21,13,What's Up?,4 Non Blondes,5,https://www.youtube.com/watch?v=6NXnxTNIWkc
22,32,Satisfied,Renee Elise Goldsberry & Original Broadway Cast of Hamilton,2,https://www.youtube.com/watch?v=InupuylYdcY
23,21,DON`T STOP,GLXXMSTRIDER,5,https://www.youtube.com/watch?v=9ZeUei8IUxA
24,29,MONTAGEM VOZES TALENTINHO (Super Slowed),heapper & DJ JUAN & Mc Luizinho,3,https://www.youtube.com/watch?v=RNElZfQ2zJA
25,20,Dark Red (Funk Ultra Slowed),ZMAJOR & dearukia & SEKIMANE & zxnc,3,https://www.youtube.com/watch?v=zVxS9Jaj32o
26,35,L O V E,Michael Bublé,10,https://www.youtube.com/watch?v=sdOvR6Io9Ao
27,22,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,14,https://www.youtube.com/watch?v=EmmYDU3Rjpg
28,26,Game over!,Harris Cole,9,https://www.youtube.com/watch?v=fTQb5umb1dg
29,n/a,Riley,Juicy J & Lex Luger,1,https://www.youtube.com/watch?v=ZjgreqGLbqc
30,n/a,RAHHHH,alt!,22,https://www.youtube.com/watch?v=FE0N2_OS0kg
31,34,fragment (slowed),slxughter,2,https://www.youtube.com/watch?v=rngLO3tF2mA
32,5,Treat You Better,Shawn Mendes,7,https://www.youtube.com/watch?v=lY2yjAdbvdQ
33,27,CLIMA LINDO (SLOWED),GXMZ & Repsaj,13,https://www.youtube.com/watch?v=P12jBX75B48
34,37,Epic Inspiration,AShamaluevMusic,6,https://www.youtube.com/watch?v=CvLHKUtcFg4
35,24,Shiny,Easykid & Dysbit,5,https://www.youtube.com/watch?v=SmFsXCEiGQA
36,38,North Memphis,Pharmacist,2,https://www.youtube.com/watch?v=tRF4J5WDJhw
37,n/a,SEQUÊNCIA DE RITMADA 7,mc lipzl,1,https://www.youtube.com/watch?v=Ju3oZ8bjUV8
38,44,Slash Inferno,Waterflame & Teminite & Boom Kitty & Autodidactic Studios,5,https://www.youtube.com/watch?v=X9FMvw8V6ZY
39,23,Eat It Up,Lil Vada & DonnySolo,3,https://www.youtube.com/watch?v=FtQKJ-DcZnc
40,n/a,Vamos A Bailar,Yerba Brava,1,https://www.youtube.com/watch?v=Xw6GEzKiseA
41,40,Shut up My Moms Calling,Hotel Ugly,5,https://www.youtube.com/watch?v=HVmpI3d11oM
42,46,Broken Clocks,SZA,2,https://www.youtube.com/watch?v=zVc-K1kKkVk
43,n/a,Roblox Music Video ♪ "STEAL A BRAINROT" (Official Song),Morgan Evans,1,https://www.youtube.com/watch?v=ZRiY-Kf4tkQ
44,41,TACO BELL (Super Slowed),Dj Funks & TRXSHBXY & Rodricci & motty,2,https://www.youtube.com/watch?v=O7ZkNHumjkY
45,n/a,Stranger Things,Kyle Dixon & Michael Stein,1,https://www.youtube.com/watch?v=2obv0DHuhu4
46,n/a,Last Christmas,Wham!,13,https://www.youtube.com/watch?v=E8gmARGvPlI
47,n/a,Rockin' Around The Christmas Tree,Brenda Lee,14,https://www.youtube.com/watch?v=TFsZy9t-qDc
48,n/a,Hello,OMFG,4,https://www.youtube.com/watch?v=aaIjs8K3oYo
49,42,CALA BOCA PXTA (Slowed),2KE,2,https://www.youtube.com/watch?v=41YgysLhOK8
50,25,Havana (feat. Young Thug),Camila Cabello,11,n/a
